"GeographyCode","QS605EW0001","QS605EW0002","QS605EW0003","QS605EW0004","QS605EW0005","QS605EW0006","QS605EW0007","QS605EW0008","QS605EW0009","QS605EW0010","QS605EW0011","QS605EW0012","QS605EW0013","QS605EW0014","QS605EW0015","QS605EW0016","QS605EW0017","QS605EW0018","QS605EW0019","QS605EW0020","QS605EW0021","QS605EW0022","QS605EW0023","QS605EW0024","QS605EW0025","QS605EW0026","QS605EW0027","QS605EW0028"
"E00021171",252,1,0,4,2,1,0,0,0,0,1,0,1,3,32,14,45,21,14,0,34,9,7,24,24,18,1,0
"E00021172",138,0,0,3,0,0,0,0,0,0,3,0,0,6,12,4,3,22,6,5,14,6,11,21,15,8,2,0
"E00021173",177,0,0,5,0,1,0,1,0,0,3,1,0,4,19,7,6,18,14,0,23,10,6,24,22,18,0,0
"E00021174",199,0,0,4,0,1,1,0,0,0,2,0,0,3,11,1,6,31,9,5,43,6,10,22,16,32,0,0
"E00021175",179,0,0,3,0,0,0,0,0,1,2,0,0,9,16,8,8,16,9,0,32,8,9,20,25,16,0,0
"E00021176",163,0,0,4,0,1,0,1,0,0,2,0,0,7,15,4,11,9,9,3,31,3,6,17,23,19,1,1
"E00021177",140,0,0,7,0,3,0,0,0,2,2,0,0,6,15,6,25,14,6,4,12,7,6,16,7,9,0,0
"E00021179",186,0,0,5,0,2,0,0,1,1,1,0,0,3,17,6,30,23,14,2,31,12,7,12,16,7,1,0
"E00021180",179,0,0,3,0,1,0,2,0,0,0,0,0,2,30,4,35,10,11,2,17,9,4,19,18,14,1,0
"E00021181",133,0,1,3,0,0,0,0,0,0,3,0,1,0,19,5,14,18,6,4,25,5,3,7,13,9,0,0
"E00021182",239,0,0,2,0,2,0,0,0,0,0,0,0,5,26,2,13,36,18,0,62,12,8,17,17,21,0,0
"E00021183",179,0,0,5,1,1,0,0,2,1,0,0,0,2,17,4,9,22,14,2,35,8,6,21,14,20,0,0
"E00021184",96,0,0,1,0,1,0,0,0,0,0,0,0,2,13,1,5,7,6,0,19,7,7,13,10,5,0,0
"E00021185",166,0,0,5,3,1,0,0,0,0,1,0,2,8,15,10,13,10,14,3,19,7,3,25,19,13,0,0
"E00021186",145,0,0,3,0,3,0,0,0,0,0,0,0,2,15,7,34,8,9,4,10,9,3,15,19,6,0,1
"E00021187",87,0,0,1,0,1,0,0,0,0,0,0,0,0,9,8,16,3,2,3,11,3,7,8,6,10,0,0
"E00021188",114,0,0,4,0,3,0,0,0,1,0,0,0,9,19,9,9,10,8,4,7,4,4,15,11,1,0,0
"E00021189",144,0,0,3,2,0,0,0,0,0,1,0,0,4,23,3,27,4,7,2,16,8,6,15,16,10,0,0
"E00021190",257,0,0,4,0,1,0,1,0,1,1,0,1,6,26,3,32,25,33,1,40,13,10,21,21,21,0,0
"E00021191",163,0,1,6,0,2,0,0,0,1,3,0,0,2,25,5,26,15,11,3,24,6,8,13,9,9,0,0
"E00021192",116,0,0,3,0,3,0,0,0,0,0,0,1,3,22,7,21,5,1,5,8,5,7,12,11,5,0,0
"E00021193",246,0,0,2,0,0,0,0,0,1,1,1,0,1,13,1,7,32,49,2,59,11,9,16,23,20,0,0
"E00021194",197,0,0,5,0,3,0,0,0,1,1,0,0,3,30,12,34,5,10,2,22,16,7,30,12,9,0,0
"E00021195",150,0,0,3,1,1,0,0,0,0,1,0,0,4,30,12,23,10,8,1,17,7,7,14,7,7,0,0
"E00021196",111,0,0,3,0,1,0,0,0,1,1,0,0,3,23,6,14,3,6,2,5,8,6,9,16,7,0,0
"E00021197",245,0,1,2,0,1,0,0,0,1,0,2,1,9,21,9,14,30,30,2,54,13,8,23,14,12,0,0
"E00021198",110,1,0,3,1,1,0,0,0,1,0,0,0,2,21,4,18,10,6,1,7,11,3,8,10,4,1,0
"E00021199",78,0,0,2,0,0,0,1,1,0,0,0,0,2,8,5,8,5,4,4,6,1,6,10,11,6,0,0
"E00021200",126,0,0,2,1,1,0,0,0,0,0,0,0,2,20,10,24,4,5,1,9,10,2,7,16,12,2,0
"E00021201",136,0,0,3,0,1,0,0,0,2,0,0,0,3,18,4,14,14,15,1,13,5,5,19,13,9,0,0
"E00021202",85,0,0,3,1,2,0,0,0,0,0,0,0,3,9,5,13,7,4,2,8,4,4,13,8,2,0,0
"E00021203",100,0,0,4,0,1,0,0,0,0,3,0,0,2,16,8,19,3,2,1,12,5,6,5,11,6,0,0
"E00021204",163,0,0,5,0,1,0,0,0,0,4,0,1,8,22,9,22,12,9,3,24,6,9,12,15,6,0,0
"E00021205",110,0,0,1,0,1,0,0,0,0,0,0,0,2,22,8,20,8,3,3,10,5,4,7,12,5,0,0
"E00021206",67,0,0,1,1,0,0,0,0,0,0,0,0,1,10,5,15,1,6,0,2,6,4,9,5,2,0,0
"E00021207",189,0,0,3,2,0,0,0,0,1,0,0,0,5,17,3,9,27,11,4,51,9,3,16,14,16,0,1
"E00021208",100,0,0,1,0,0,0,1,0,0,0,0,1,4,21,8,13,2,4,2,6,4,4,10,14,6,0,0
"E00021209",96,0,0,6,1,4,0,0,0,0,1,0,0,4,21,5,14,4,4,3,3,8,3,8,13,0,0,0
"E00021210",121,0,0,3,0,0,0,1,0,1,1,0,1,3,26,8,12,5,3,7,4,10,6,15,11,7,0,0
"E00021211",194,0,0,3,1,0,0,0,0,1,1,0,1,6,28,9,25,15,12,2,19,10,10,18,11,25,0,0
"E00021212",92,1,0,3,0,0,0,1,0,2,0,0,0,3,22,8,14,6,0,5,7,3,1,7,8,3,1,0
"E00021213",140,0,0,6,1,3,0,0,0,1,1,0,1,1,34,6,17,10,6,1,12,2,6,5,20,13,0,0
"E00021214",182,0,0,1,0,0,0,0,1,0,0,0,0,3,23,8,25,16,11,0,18,16,10,26,11,13,1,0
"E00021215",233,0,0,5,0,3,0,1,0,0,1,0,0,5,32,5,22,20,18,4,39,10,10,30,20,12,0,1
"E00021216",128,0,0,3,1,0,0,0,0,0,2,0,0,2,20,4,20,6,8,2,4,9,4,24,13,8,1,0
"E00021217",150,0,0,0,0,0,0,0,0,0,0,0,0,8,21,5,27,8,7,2,15,10,5,22,9,11,0,0
"E00021218",287,0,0,8,3,0,0,1,0,3,1,1,1,12,16,6,20,32,54,9,42,9,15,21,21,19,1,0
"E00021219",134,0,1,5,0,0,0,0,0,1,4,0,2,10,16,5,14,6,16,5,11,9,8,9,8,7,0,2
"E00021220",226,0,0,9,1,1,0,0,0,1,6,2,0,7,6,5,12,27,62,5,32,5,9,18,16,10,0,1
"E00021223",291,0,0,4,0,0,0,1,0,1,2,2,0,3,13,6,19,30,88,3,54,13,14,16,12,12,0,2
"E00021224",217,0,0,2,0,0,0,0,0,1,1,1,1,20,19,3,15,24,38,2,19,16,7,20,15,14,0,1
"E00021225",138,0,0,2,1,0,0,0,0,1,0,0,1,7,16,8,8,16,15,1,24,10,3,15,3,9,0,0
"E00021227",156,1,0,4,0,0,0,0,1,0,3,1,0,10,12,9,7,11,17,4,21,5,12,16,14,12,0,0
"E00021228",158,0,0,3,1,0,0,1,0,0,1,0,3,13,16,3,27,10,8,0,15,7,7,15,17,12,0,2
"E00021229",112,0,1,2,0,0,0,0,1,0,1,0,1,4,22,10,11,2,13,4,8,5,4,13,7,5,0,0
"E00021230",140,0,1,2,0,0,0,0,1,1,0,0,0,6,9,7,11,16,31,2,18,7,3,9,10,8,0,0
"E00021231",107,0,0,1,0,1,0,0,0,0,0,1,1,8,20,6,4,10,11,4,8,7,4,8,7,5,0,2
"E00021235",86,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,13,2,3,2,6,1,3,15,14,5,0,0
"E00021236",155,0,0,4,1,1,0,1,0,0,1,2,0,2,14,9,25,18,23,1,19,8,6,7,11,6,0,0
"E00021238",288,0,0,3,1,0,0,1,0,1,0,0,0,6,14,5,9,30,105,2,39,9,17,8,24,15,1,1
"E00021239",209,0,0,5,0,3,0,0,1,0,1,2,0,3,10,1,6,18,82,2,43,7,7,8,9,6,0,0
"E00021240",245,0,0,3,0,0,0,0,0,0,3,0,0,5,16,8,9,31,74,6,36,6,5,20,11,13,0,2
"E00021241",206,0,1,3,0,0,0,0,0,1,2,0,0,7,12,8,18,19,46,3,23,12,9,12,18,15,0,0
"E00021243",148,0,0,3,0,0,0,0,0,0,3,0,0,6,15,20,13,14,26,0,10,7,8,15,7,4,0,0
"E00021244",75,0,0,4,0,1,0,0,2,0,1,0,0,4,16,6,4,3,5,3,1,5,1,14,4,5,0,0
"E00021245",94,0,0,4,1,0,0,1,0,1,1,1,1,6,10,2,11,9,14,2,10,5,4,6,4,5,0,0
"E00021246",218,1,0,7,1,3,0,1,0,2,0,0,0,10,27,4,24,17,32,5,14,16,9,22,16,13,0,1
"E00021247",128,0,0,2,0,2,0,0,0,0,0,0,0,2,21,8,22,6,8,2,8,5,5,18,17,4,0,0
"E00021248",134,0,0,5,1,0,0,0,0,1,3,0,0,6,14,6,24,8,9,3,7,6,7,15,12,10,2,0
"E00021249",122,0,0,1,0,1,0,0,0,0,0,0,1,10,18,10,15,9,5,1,2,7,4,22,12,5,0,0
"E00021251",121,0,0,2,0,2,0,0,0,0,0,0,0,11,17,6,9,10,10,4,14,9,5,14,6,4,0,0
"E00021252",207,0,0,2,0,0,0,0,0,1,1,1,1,12,16,16,11,22,45,1,25,7,9,13,10,16,0,0
"E00021253",123,0,0,2,0,0,0,0,0,0,2,1,0,10,14,6,9,18,11,4,13,9,0,8,11,7,0,0
"E00021254",163,0,0,6,0,0,1,1,1,2,1,0,1,5,15,5,1,22,56,3,14,12,12,1,4,5,0,1
"E00021255",163,0,1,2,1,0,0,0,0,0,1,1,0,7,6,0,10,23,49,2,19,9,4,12,11,6,0,1
"E00021256",155,0,1,4,0,1,0,1,1,1,0,1,0,7,6,4,12,21,44,4,18,9,3,12,5,4,0,0
"E00021257",153,0,0,3,0,0,0,3,0,0,0,0,0,9,12,3,11,10,28,3,19,8,8,14,18,6,1,0
"E00021258",126,0,1,4,0,2,0,0,1,0,1,0,3,9,16,11,20,5,6,8,2,10,4,17,4,6,0,0
"E00021259",163,0,0,6,0,1,1,0,2,1,1,0,0,10,18,7,26,6,16,3,8,9,8,19,17,8,0,2
"E00021260",120,0,0,3,0,1,0,0,1,0,1,0,0,4,11,3,12,9,6,1,22,7,4,12,14,11,0,1
"E00021261",124,0,0,4,0,0,0,0,0,0,4,0,3,3,10,0,8,12,23,3,18,14,2,9,8,7,0,0
"E00021262",111,0,0,4,0,0,0,0,0,0,4,1,1,6,19,4,16,6,3,3,9,5,5,9,16,4,0,0
"E00021263",228,0,0,4,0,2,0,0,1,0,1,0,1,7,23,6,15,21,24,4,31,7,14,26,34,11,0,0
"E00021266",176,0,0,2,0,1,0,0,0,0,1,0,0,14,19,3,8,11,10,3,30,9,12,17,19,19,0,0
"E00021267",139,0,0,1,0,1,0,0,0,0,0,0,0,7,16,3,22,9,7,4,13,4,5,25,15,8,0,0
"E00021268",126,0,0,5,0,2,0,0,0,2,1,0,1,4,14,6,14,7,11,2,11,3,7,15,16,10,0,0
"E00021271",176,0,0,5,0,2,0,1,1,0,1,1,0,8,13,15,15,4,6,7,8,8,5,31,45,5,0,0
"E00021272",93,0,0,1,0,1,0,0,0,0,0,0,3,9,14,6,10,4,3,2,4,1,3,7,15,11,0,0
"E00021273",112,0,0,4,0,2,0,0,0,0,2,1,0,4,25,5,4,6,5,0,8,7,5,19,14,5,0,0
"E00021274",158,0,0,9,0,3,0,1,0,2,3,0,1,4,24,14,23,7,7,5,9,9,6,19,12,9,0,0
"E00021275",96,0,0,1,0,0,0,0,0,0,1,0,0,4,18,10,14,2,6,4,7,5,2,13,8,2,0,0
"E00021277",93,0,0,2,0,0,0,0,0,1,1,0,1,6,8,7,6,5,5,1,12,10,5,13,9,2,1,0
"E00021278",67,0,0,1,1,0,0,0,0,0,0,0,0,2,6,4,13,8,8,0,6,2,1,4,10,2,0,0
"E00021279",141,0,0,4,2,0,1,0,0,0,1,1,1,12,18,12,13,5,7,2,12,10,3,13,17,11,0,0
"E00021280",143,0,0,0,0,0,0,0,0,0,0,0,0,5,16,4,18,15,8,2,16,5,3,19,14,17,1,0
"E00021281",289,0,0,6,1,2,1,0,1,0,1,1,3,11,39,13,31,17,24,5,30,21,11,24,31,21,0,1
"E00021282",202,0,1,3,0,2,0,0,0,0,1,0,2,5,23,7,12,10,23,0,33,8,8,23,35,9,0,0
"E00021285",94,0,0,2,0,1,0,0,0,0,1,0,0,1,8,1,5,15,15,2,16,2,4,13,7,2,0,1
"E00021286",157,0,0,2,1,0,0,0,1,0,0,0,0,7,16,7,10,15,14,1,22,5,9,12,20,17,0,0
"E00021287",251,1,0,6,2,0,0,0,0,4,0,1,0,4,20,2,10,27,33,7,57,15,9,21,17,18,0,3
"E00021288",203,0,0,4,0,1,0,0,0,1,2,0,0,4,16,3,4,20,42,1,39,12,9,19,21,8,0,1
"E00021289",103,0,0,0,0,0,0,0,0,0,0,0,0,3,14,9,21,2,5,2,6,5,5,11,14,6,0,0
"E00021290",115,0,0,3,0,1,0,0,1,0,1,0,0,3,13,7,19,4,3,0,10,6,4,17,21,5,0,0
"E00021291",326,0,0,7,1,3,0,0,1,1,1,0,1,13,24,4,5,40,46,7,82,17,8,25,23,24,0,0
"E00021292",105,0,0,2,0,0,0,0,0,0,2,0,0,6,15,3,18,3,2,3,5,8,5,14,14,7,0,0
"E00021294",163,0,0,6,0,2,0,0,1,1,2,0,0,6,19,13,24,4,3,7,14,14,8,24,15,5,1,0
"E00021295",212,0,0,5,0,1,0,2,0,0,2,0,0,1,15,8,14,25,10,2,36,5,10,41,22,17,0,1
"E00021296",226,0,0,7,2,1,0,0,1,1,2,0,2,13,24,7,3,25,21,4,31,7,17,27,25,13,0,0
"E00021297",220,0,0,3,0,1,0,0,0,0,2,1,0,10,15,8,5,17,20,2,51,9,14,21,21,23,0,0
"E00021298",274,0,0,4,0,0,0,0,0,0,4,1,0,5,18,5,18,30,25,4,49,11,13,35,33,23,0,0
"E00021299",239,0,0,4,2,0,0,0,0,1,1,0,0,8,29,15,21,24,15,4,26,8,22,28,10,25,0,0
"E00021300",306,0,0,4,0,1,0,0,1,0,2,0,0,10,29,4,20,32,26,6,63,7,7,32,44,22,0,0
"E00021301",144,0,0,6,0,1,0,0,0,1,4,0,0,4,19,9,25,7,6,3,9,5,8,23,15,5,0,0
"E00021302",231,0,0,6,0,0,0,0,1,1,4,2,2,6,33,15,35,18,9,6,27,8,9,23,20,12,0,0
"E00021303",140,0,1,6,1,3,0,0,0,1,1,0,1,3,24,6,24,7,5,3,12,10,6,14,11,7,0,0
"E00021304",175,0,0,5,1,1,0,1,0,0,2,0,0,4,33,5,25,12,6,4,15,14,5,25,14,8,0,0
"E00021305",158,0,0,3,1,2,0,0,0,0,0,1,0,3,8,2,7,15,13,3,37,9,9,17,16,14,0,1
"E00021306",162,0,0,6,2,0,0,0,1,0,3,0,1,6,10,3,12,20,17,4,31,6,11,14,15,6,0,0
"E00021307",309,0,0,8,0,1,0,3,0,2,2,0,1,8,31,8,29,40,31,6,51,6,10,27,33,19,1,0
"E00021308",206,0,0,7,1,2,0,1,0,0,3,1,0,4,29,6,17,13,18,5,27,13,10,26,16,13,0,1
"E00021309",159,0,0,0,0,0,0,0,0,0,0,0,0,10,18,2,2,22,16,8,30,7,8,7,17,11,1,0
"E00021310",108,0,0,2,0,1,0,0,0,0,1,0,2,5,14,2,16,9,7,3,10,2,5,12,14,5,0,0
"E00021311",131,0,0,2,0,2,0,0,0,0,0,0,0,10,20,9,18,8,7,3,5,7,3,13,15,11,0,0
"E00021312",156,0,0,3,0,2,0,0,0,0,1,1,0,3,15,8,6,14,7,2,18,7,8,28,23,12,1,0
"E00021313",272,0,0,11,1,2,1,3,0,1,3,0,2,6,35,9,20,32,15,5,37,8,11,34,17,30,0,0
"E00021314",225,0,0,4,0,1,0,1,1,0,1,0,0,10,25,6,4,32,21,1,44,3,8,31,22,13,1,0
"E00021315",35,0,0,4,3,0,0,0,0,0,1,0,0,1,3,3,2,1,2,2,1,4,0,5,6,1,0,0
"E00021316",123,0,0,0,0,0,0,0,0,0,0,0,1,2,12,11,16,10,6,4,14,3,8,15,16,5,0,0
"E00021317",190,1,0,2,0,0,0,0,0,0,2,0,0,7,22,4,5,18,15,1,36,4,6,33,19,17,0,0
"E00021318",155,0,0,3,1,0,0,0,0,0,2,0,0,3,16,4,20,15,5,1,23,6,7,11,30,11,0,0
"E00021319",140,0,0,3,0,3,0,0,0,0,0,0,0,7,15,5,5,19,2,3,27,7,6,16,16,9,0,0
"E00021320",146,0,0,2,0,0,0,1,0,0,1,0,1,9,16,4,7,8,11,2,23,5,10,24,13,11,0,0
"E00021321",151,0,0,5,0,1,0,0,0,2,2,1,1,4,27,3,14,15,12,3,15,9,5,19,7,9,1,1
"E00021322",124,0,0,4,0,1,0,1,2,0,0,1,0,6,17,13,9,6,5,2,13,5,5,20,14,3,0,1
"E00021323",128,0,0,4,0,0,0,0,0,0,4,0,0,5,20,3,27,8,7,4,8,8,2,15,16,1,0,0
"E00021324",209,0,0,3,0,1,0,1,0,0,1,0,1,6,33,4,7,24,31,7,32,3,10,16,17,15,0,0
"E00021325",180,0,0,4,1,2,0,0,0,0,1,0,1,3,12,6,9,11,10,1,30,7,11,31,25,19,0,0
"E00021326",156,0,0,3,0,2,0,0,0,1,0,0,0,6,33,5,24,5,7,3,2,18,5,25,12,8,0,0
"E00021327",229,0,0,4,0,1,0,0,0,0,3,1,0,15,25,9,10,24,17,6,23,11,11,41,18,14,0,0
"E00021328",182,0,0,8,2,2,0,0,0,0,4,0,0,3,33,8,57,10,4,1,13,7,2,17,13,6,0,0
"E00021329",147,0,0,3,0,0,0,0,0,0,3,0,2,12,23,10,16,7,2,5,8,10,9,21,12,7,0,0
"E00021330",135,0,0,5,0,2,1,0,0,1,1,0,0,5,15,11,14,8,4,3,15,19,5,14,9,7,1,0
"E00021331",101,0,0,5,2,0,1,0,0,0,2,0,0,0,15,7,12,11,3,2,10,5,4,9,7,11,0,0
"E00021332",142,0,0,8,2,2,0,0,2,1,1,1,0,5,27,8,18,5,8,3,9,7,6,10,15,12,0,0
"E00021333",116,1,0,5,0,1,0,0,1,0,3,0,0,3,25,6,17,9,4,3,7,8,5,12,9,2,0,0
"E00021334",153,0,0,6,0,3,0,0,1,1,1,0,1,17,28,8,20,4,7,1,10,10,6,10,17,6,0,2
"E00021335",197,0,0,8,0,2,0,0,0,2,4,0,1,17,29,9,26,7,7,7,6,10,12,21,26,11,0,0
"E00021336",100,0,0,1,0,1,0,0,0,0,0,0,0,7,10,8,13,3,9,2,5,15,2,10,8,7,0,0
"E00021337",114,0,0,6,0,3,0,0,0,0,3,0,0,2,18,11,12,3,5,3,5,12,4,14,12,7,0,0
"E00021338",130,0,0,1,0,1,0,0,0,0,0,0,0,3,19,8,31,5,4,2,6,4,5,21,14,7,0,0
"E00021339",165,0,0,6,2,1,0,1,0,1,1,0,0,5,18,10,12,12,11,6,12,17,9,20,17,10,0,0
"E00021340",202,0,0,2,0,1,0,1,0,0,0,0,2,3,23,8,30,21,26,5,23,12,11,13,11,12,0,0
"E00021342",107,0,0,6,0,2,0,1,1,1,1,0,1,6,8,9,22,4,3,1,4,4,3,10,15,10,0,1
"E00021344",154,0,0,4,0,1,0,0,0,1,2,0,0,5,33,7,22,5,5,1,10,14,8,15,16,9,0,0
"E00021345",126,0,0,3,1,0,0,0,1,0,1,0,1,2,14,8,26,8,3,3,7,7,6,15,17,6,0,0
"E00021346",106,1,0,1,0,0,0,0,0,0,1,0,1,2,14,5,18,4,8,2,9,9,6,9,11,6,0,0
"E00021347",133,0,0,4,0,1,0,0,1,1,1,0,0,2,13,12,18,3,8,0,11,8,10,16,19,9,0,0
"E00021349",144,0,0,4,1,1,0,0,0,0,2,0,1,3,28,4,19,5,9,2,10,11,9,16,17,6,0,0
"E00021350",117,0,0,3,0,2,0,0,0,1,0,0,0,4,22,9,18,6,7,3,7,6,4,11,10,7,0,0
"E00021351",131,0,0,2,0,2,0,0,0,0,0,0,0,6,26,4,31,7,11,3,6,9,3,8,12,3,0,0
"E00021352",131,0,0,2,0,0,0,0,0,1,1,0,2,5,13,10,11,5,6,4,13,9,7,16,18,10,0,0
"E00021353",95,0,0,4,0,3,0,0,0,0,1,0,1,3,16,6,20,9,2,0,4,6,2,5,8,9,0,0
"E00021354",168,0,0,10,1,0,0,0,1,4,4,0,2,4,28,8,12,10,7,5,10,10,10,17,15,20,0,0
"E00021355",174,0,0,4,1,1,0,0,0,0,2,0,1,6,23,7,12,21,14,1,23,13,9,16,15,9,0,0
"E00021357",102,0,0,0,0,0,0,0,0,0,0,0,0,4,12,8,24,2,5,4,4,4,9,8,13,5,0,0
"E00021359",131,0,0,0,0,0,0,0,0,0,0,0,0,7,17,10,15,4,10,5,8,6,8,19,15,7,0,0
"E00021360",141,0,0,4,0,0,0,0,1,0,3,1,0,2,35,6,25,5,4,3,7,5,3,15,15,11,0,0
"E00021361",109,0,0,5,0,2,0,0,0,0,3,0,1,3,19,5,10,4,9,1,2,13,5,14,14,4,0,0
"E00021363",120,0,0,6,0,1,0,1,2,0,2,0,1,7,10,15,15,8,7,5,5,10,3,16,10,2,0,0
"E00021364",204,0,0,8,4,2,1,1,0,0,0,2,0,13,27,7,34,8,11,4,12,10,11,27,17,12,1,0
"E00021365",135,0,0,5,2,0,0,0,0,1,2,0,0,12,7,6,14,13,9,2,6,13,9,20,12,7,0,0
"E00021366",121,0,0,2,0,1,0,0,0,0,1,0,1,5,28,10,16,5,7,1,3,11,5,16,8,3,0,0
"E00021367",104,0,0,3,0,2,0,0,0,0,1,0,0,5,11,3,18,7,14,0,10,4,4,8,14,3,0,0
"E00021368",143,0,0,1,1,0,0,0,0,0,0,0,0,7,18,10,24,12,4,0,8,7,7,24,9,12,0,0
"E00021369",69,0,0,7,0,1,0,0,0,2,4,0,0,0,7,11,10,0,3,2,2,4,4,7,7,5,0,0
"E00021370",171,0,1,2,1,0,0,0,1,0,0,1,1,5,12,10,24,3,11,8,11,15,4,33,21,9,0,0
"E00021371",45,0,0,2,0,2,0,0,0,0,0,0,0,1,7,6,5,2,1,0,4,3,1,5,6,2,0,0
"E00021372",161,0,0,4,0,1,0,0,0,1,2,0,1,6,17,9,30,9,15,3,16,11,2,14,17,6,0,1
"E00021374",120,0,0,2,1,0,0,0,1,0,0,0,0,6,24,9,24,1,5,4,2,10,2,18,6,6,0,1
"E00021375",121,0,0,1,0,0,0,0,0,1,0,0,2,7,14,6,22,4,6,4,5,6,5,13,16,10,0,0
"E00021376",110,0,0,3,0,2,0,0,0,0,1,0,1,3,19,8,21,1,7,2,7,6,3,13,9,6,0,1
"E00021377",234,0,0,10,2,4,0,0,0,3,1,0,1,10,31,11,36,19,22,6,16,15,11,18,14,13,1,0
"E00021378",173,0,0,3,1,0,0,0,0,0,2,0,0,14,22,10,28,12,10,5,12,19,4,16,10,8,0,0
"E00021379",116,0,0,1,0,0,0,0,0,1,0,0,2,12,13,3,15,7,9,2,10,8,10,8,6,10,0,0
"E00021380",98,0,0,1,0,0,0,0,0,0,1,0,1,5,6,4,12,2,19,2,7,8,4,8,7,11,0,1
"E00021381",125,0,0,6,2,1,0,0,1,0,2,0,0,8,24,5,21,5,3,3,7,3,2,19,6,13,0,0
"E00021382",111,0,0,2,0,2,0,0,0,0,0,0,0,6,16,8,28,1,5,2,5,6,5,15,10,2,0,0
"E00021383",150,0,0,11,1,3,0,2,0,1,4,0,3,4,27,10,16,1,4,4,14,13,6,15,13,7,1,1
"E00021384",171,0,0,4,0,0,0,1,0,0,3,0,0,2,12,4,8,19,32,3,37,1,4,14,9,22,0,0
"E00021385",207,0,0,7,1,0,1,0,1,1,3,1,3,6,19,11,27,10,25,5,18,21,4,20,14,16,0,0
