"GeographyCode","QS606EW0001","QS606EW0002","QS606EW0003","QS606EW0004","QS606EW0005","QS606EW0006","QS606EW0007","QS606EW0008","QS606EW0009","QS606EW0010","QS606EW0011","QS606EW0012","QS606EW0013","QS606EW0014","QS606EW0015","QS606EW0016","QS606EW0017","QS606EW0018","QS606EW0019","QS606EW0020","QS606EW0021","QS606EW0022","QS606EW0023","QS606EW0024","QS606EW0025","QS606EW0026","QS606EW0027","QS606EW0028","QS606EW0029","QS606EW0030","QS606EW0031","QS606EW0032","QS606EW0033","QS606EW0034","QS606EW0035","QS606EW0036","QS606EW0037","QS606EW0038","QS606EW0039","QS606EW0040","QS606EW0041","QS606EW0042","QS606EW0043","QS606EW0044","QS606EW0045","QS606EW0046","QS606EW0047","QS606EW0048","QS606EW0049","QS606EW0050","QS606EW0051","QS606EW0052","QS606EW0053","QS606EW0054","QS606EW0055","QS606EW0056","QS606EW0057","QS606EW0058","QS606EW0059","QS606EW0060","QS606EW0061","QS606EW0062","QS606EW0063","QS606EW0064","QS606EW0065","QS606EW0066","QS606EW0067","QS606EW0068","QS606EW0069","QS606EW0070","QS606EW0071","QS606EW0072","QS606EW0073","QS606EW0074","QS606EW0075","QS606EW0076","QS606EW0077","QS606EW0078","QS606EW0079","QS606EW0080","QS606EW0081","QS606EW0082","QS606EW0083","QS606EW0084","QS606EW0085","QS606EW0086","QS606EW0087","QS606EW0088","QS606EW0089","QS606EW0090","QS606EW0091","QS606EW0092","QS606EW0093","QS606EW0094","QS606EW0095","QS606EW0096","QS606EW0097","QS606EW0098","QS606EW0099","QS606EW0100","QS606EW0101","QS606EW0102","QS606EW0103","QS606EW0104","QS606EW0105","QS606EW0106","QS606EW0107","QS606EW0108","QS606EW0109","QS606EW0110","QS606EW0111","QS606EW0112","QS606EW0113","QS606EW0114","QS606EW0115","QS606EW0116","QS606EW0117","QS606EW0118","QS606EW0119","QS606EW0120","QS606EW0121","QS606EW0122","QS606EW0123","QS606EW0124","QS606EW0125"
"E02000874",2716,191,100,8,12,31,11,5,0,2,31,91,1,48,2,40,477,82,10,10,58,1,3,56,23,8,25,114,114,225,32,80,19,16,9,1,68,491,39,14,10,15,56,10,46,7,7,155,110,40,5,234,1,13,73,99,0,48,260,201,45,55,31,60,10,59,59,208,4,4,26,2,8,5,11,0,37,27,8,2,141,9,6,124,2,221,165,110,0,55,56,18,22,13,3,360,299,253,26,20,61,50,11,151,31,6,7,5,13,120,114,3,3,357,11,0,7,4,346,17,60,79,6,16,168
"E02000875",3673,277,154,8,17,58,11,15,2,9,34,123,0,63,3,57,760,190,25,19,135,5,6,102,40,17,45,177,177,291,49,118,27,27,11,5,54,579,37,8,4,25,60,8,52,18,18,160,105,41,14,304,2,14,114,114,1,59,369,271,44,81,40,86,20,98,98,325,7,7,53,3,9,12,27,2,73,54,13,6,192,6,5,176,5,267,174,105,1,68,93,33,34,16,10,383,302,260,27,15,81,74,7,207,58,7,17,16,18,149,138,6,5,506,13,0,7,6,493,25,91,111,12,20,234
"E02000876",3262,305,182,11,10,81,17,5,1,8,49,123,0,69,1,53,792,161,14,15,122,3,7,107,61,12,34,160,160,364,65,136,42,16,2,4,99,671,54,10,12,32,38,3,35,10,10,232,160,63,9,337,2,11,133,147,0,44,328,243,42,48,52,87,14,85,85,186,2,2,21,1,5,4,11,0,23,14,8,1,140,14,1,117,8,179,128,80,2,46,51,18,18,11,4,328,268,223,33,12,60,54,6,116,34,6,10,10,8,82,77,0,5,357,20,3,4,13,337,19,37,38,8,13,222
"E02000877",3758,241,132,8,14,48,19,6,0,4,33,109,0,49,2,58,743,149,14,11,115,0,9,118,55,10,53,172,172,304,34,127,27,22,5,5,84,563,37,13,3,21,61,9,52,10,10,191,137,36,18,264,0,5,79,118,0,62,357,272,70,65,40,83,14,85,85,317,4,4,42,1,7,11,23,0,45,29,14,2,226,11,11,201,3,322,229,113,2,114,93,33,33,20,7,439,353,315,19,19,86,77,9,202,61,16,13,21,11,141,130,6,5,574,14,1,6,7,560,43,96,82,12,32,295
"E02000878",5098,585,408,29,24,189,91,12,1,3,59,177,0,82,4,91,1277,251,32,26,181,1,11,121,64,21,36,162,162,743,194,303,59,16,4,11,156,1262,70,15,22,33,58,13,45,11,11,403,297,93,13,720,2,15,379,248,0,76,506,368,80,130,57,86,15,138,138,254,8,8,34,3,8,3,20,0,28,21,6,1,184,23,8,148,5,237,143,89,4,50,94,39,37,12,6,403,338,300,29,9,65,60,5,127,39,5,12,16,6,88,81,0,7,447,9,0,3,6,438,20,41,58,9,14,296
"E02000879",3059,245,156,13,17,60,18,9,3,6,30,89,0,47,2,40,606,113,15,13,81,1,3,80,35,7,38,137,137,276,44,115,21,31,7,3,55,494,45,11,10,24,53,8,45,13,13,149,111,31,7,234,0,9,91,91,0,43,353,253,51,69,43,76,14,100,100,227,2,2,24,0,4,6,14,0,44,31,11,2,157,13,6,130,8,261,181,109,0,72,80,24,23,17,16,324,247,213,22,12,77,71,6,145,32,9,7,9,7,113,108,2,3,404,16,2,11,3,388,21,67,51,9,16,224
"E02000880",2481,194,114,4,12,43,12,8,0,10,25,80,0,36,4,40,531,114,11,14,87,1,1,89,34,9,46,105,105,223,24,106,16,14,4,8,51,462,38,11,2,25,30,5,25,6,6,138,90,41,7,250,0,7,98,93,0,52,254,187,41,33,29,74,10,67,67,161,2,2,17,0,3,2,11,1,25,14,11,0,117,10,4,97,6,174,115,51,0,64,59,16,24,15,4,292,232,193,23,16,60,59,1,108,30,4,8,15,3,78,74,2,2,305,5,0,3,2,300,16,38,43,4,13,186
"E02000881",2458,184,108,1,21,36,12,9,1,5,23,76,0,32,3,41,362,82,6,8,65,0,3,51,23,1,27,101,101,128,18,69,11,7,6,3,14,365,36,14,1,21,49,6,43,8,8,112,87,16,9,160,0,7,70,42,0,41,274,207,48,66,36,44,13,67,67,226,8,8,33,4,9,3,15,2,54,31,20,3,131,2,14,112,3,229,151,98,1,52,78,18,28,19,13,247,177,150,15,12,70,61,9,184,51,8,15,14,14,133,117,6,10,387,19,1,12,6,368,23,77,79,4,19,166
"E02000882",3121,242,150,4,17,56,16,8,0,11,38,92,0,37,2,53,722,132,24,22,84,2,0,156,45,15,96,203,203,231,23,98,20,33,4,6,47,473,59,25,6,28,43,5,38,22,22,114,74,30,10,235,1,9,89,72,0,64,367,273,50,65,55,82,21,94,94,247,9,9,34,4,6,6,18,0,57,48,8,1,147,14,2,127,4,251,185,103,2,80,66,22,20,14,10,306,222,186,21,15,84,77,7,187,38,9,11,12,6,149,141,3,5,326,12,0,6,6,314,24,47,70,3,22,148
"E02000883",2724,189,102,2,14,30,9,13,1,2,31,87,0,45,0,42,411,113,4,14,91,2,2,45,16,5,24,103,103,150,15,81,5,17,5,1,26,352,35,6,7,22,39,6,33,13,13,76,57,11,8,189,2,8,91,51,0,37,324,236,41,76,34,71,14,88,88,265,7,7,41,0,12,7,22,0,62,38,21,3,155,8,7,135,5,252,169,97,2,70,83,28,28,15,12,310,252,222,12,18,58,54,4,184,52,8,8,11,25,132,121,7,4,437,37,8,21,8,400,25,96,73,6,20,180
"E02000884",5087,627,464,36,21,214,112,7,3,15,56,163,0,82,6,75,1536,347,33,54,242,6,12,184,100,4,80,170,170,835,255,395,50,16,5,6,108,1316,74,25,15,34,45,8,37,20,20,261,181,73,7,916,2,20,523,276,0,95,411,316,51,89,61,97,18,95,95,177,7,7,26,0,4,6,14,2,27,17,9,1,117,9,9,95,4,186,139,69,1,69,47,16,18,10,3,377,309,263,37,9,68,60,8,112,35,6,8,18,3,77,71,1,5,345,3,0,0,3,342,18,49,58,4,14,199
"E02000885",2540,221,117,10,11,33,18,5,0,4,36,104,0,53,2,49,480,78,6,8,62,1,1,62,26,4,32,116,116,224,37,89,11,24,6,8,49,395,33,10,6,17,36,9,27,14,14,90,55,26,9,222,1,6,105,65,0,45,263,200,34,52,36,62,16,63,63,233,2,2,35,4,3,7,19,2,33,24,9,0,163,11,6,135,11,183,132,83,0,49,51,13,18,11,9,287,215,185,14,16,72,63,9,142,44,4,11,15,14,98,91,3,4,336,11,1,7,3,325,24,48,68,7,14,164
"E02000886",3938,567,427,38,31,184,111,13,2,10,38,140,0,52,5,83,1137,321,18,27,269,3,4,105,65,13,27,137,137,574,136,304,36,15,4,15,64,798,51,9,9,33,38,6,32,14,14,132,84,29,19,563,3,18,334,150,1,57,357,268,50,96,48,51,23,89,89,206,7,7,44,4,7,4,26,3,45,31,13,1,110,6,4,93,7,205,125,65,0,60,80,29,27,16,8,265,205,171,21,13,60,58,2,129,27,4,7,7,9,102,92,6,4,274,9,0,5,4,265,16,58,48,5,14,124
"E02000887",3440,250,157,4,24,51,28,7,1,8,34,93,0,48,3,42,606,173,7,26,138,2,0,65,26,5,34,111,111,257,35,142,20,24,3,7,26,481,46,11,10,25,44,10,34,15,15,84,50,24,10,292,0,18,126,85,1,62,371,254,49,71,49,70,15,117,117,365,9,9,56,4,18,10,24,0,105,70,28,7,195,4,6,180,5,297,217,127,4,86,80,28,7,35,10,347,277,249,13,15,70,62,8,203,52,6,15,12,19,151,134,7,10,520,22,0,15,7,498,32,111,93,6,12,244
"E02000888",4061,599,460,44,19,204,122,10,10,10,41,139,0,54,4,81,1117,282,15,36,221,2,8,115,58,12,45,131,131,589,130,320,36,24,4,16,59,857,59,19,7,33,31,9,22,28,28,124,91,28,5,615,4,14,393,145,0,59,363,268,53,89,38,71,17,95,95,198,5,5,24,1,6,3,12,2,30,22,8,0,139,12,7,116,4,189,125,65,3,57,64,25,15,15,9,302,230,191,25,14,72,55,17,140,49,4,10,21,14,91,81,4,6,296,13,2,4,7,283,23,39,43,10,10,158
"E02000889",3696,473,386,31,36,168,89,11,6,15,30,87,0,29,2,56,1152,273,16,42,208,5,2,100,62,9,29,126,126,653,196,324,33,15,2,22,61,830,47,7,8,32,32,6,26,20,20,125,85,30,10,606,1,16,362,158,0,69,356,271,47,112,27,61,24,85,85,170,5,5,38,2,2,4,29,1,30,22,7,1,97,7,3,81,6,157,112,64,1,47,45,20,9,15,1,224,180,144,26,10,44,40,4,114,36,5,6,15,10,78,71,1,6,220,7,0,2,5,213,19,39,45,4,7,99
"E02000890",4029,746,601,68,53,265,152,9,3,10,41,145,1,49,0,95,1413,291,17,39,220,7,8,138,98,10,30,126,126,858,295,357,54,12,6,31,103,1009,53,16,5,32,27,4,23,14,14,166,115,40,11,749,3,14,487,187,0,58,346,266,43,102,39,56,26,80,80,104,1,1,15,0,6,4,4,1,37,36,0,1,51,3,8,36,4,99,59,35,2,22,40,18,10,7,5,119,92,73,11,8,27,21,6,53,18,2,6,5,5,35,34,0,1,140,5,1,2,2,135,8,19,40,2,5,61
"E02000891",7346,1117,872,85,61,344,242,25,21,16,78,245,1,93,3,148,2347,755,30,78,635,3,9,218,143,10,65,208,208,1166,175,763,69,33,8,31,87,1708,136,25,18,93,51,11,40,53,53,238,147,56,35,1230,5,23,865,231,3,103,700,526,74,216,91,124,21,174,174,289,5,5,59,0,3,10,45,1,71,49,18,4,154,5,5,139,5,291,169,92,7,70,122,48,45,16,13,343,274,226,32,16,69,57,12,150,47,10,10,13,14,103,86,5,12,401,11,1,8,2,390,21,81,92,10,16,170
"E02000893",3416,386,282,16,47,107,56,7,8,9,32,104,0,39,1,64,899,285,11,33,236,1,4,93,56,9,28,124,124,397,43,250,34,12,5,15,38,583,52,10,9,33,43,8,35,16,16,110,73,26,11,362,3,22,183,112,0,42,400,302,40,106,41,92,23,98,98,258,6,6,76,3,13,10,50,0,72,48,19,5,104,4,4,89,7,227,155,99,3,53,72,26,19,15,12,193,151,128,11,12,42,30,12,140,28,4,4,6,14,112,96,6,10,330,16,2,11,3,314,31,59,48,6,19,151
"E02000894",6269,923,699,32,55,298,191,29,14,13,67,224,2,91,5,126,2085,695,20,84,579,4,8,171,110,16,45,216,216,1003,144,650,58,22,6,22,101,1375,123,31,9,83,48,11,37,37,37,181,108,53,20,986,2,35,561,271,2,115,644,478,76,174,68,115,45,166,166,253,7,7,65,1,9,14,39,2,68,48,15,5,113,3,10,92,8,229,120,81,2,37,109,40,34,27,8,292,226,182,26,18,66,56,10,126,42,4,13,11,14,84,73,3,8,342,16,0,8,8,326,23,41,58,5,12,187
"E02006853",3831,592,473,31,32,210,137,17,0,6,40,119,0,38,3,78,1172,354,21,38,286,3,6,91,62,4,25,103,103,624,93,440,27,11,3,11,39,841,64,19,3,42,37,3,34,21,21,69,37,21,11,650,3,11,444,142,0,50,370,274,33,122,28,77,14,96,96,146,4,4,46,2,4,5,32,3,26,17,6,3,70,2,3,62,3,177,118,59,6,53,59,7,29,18,5,199,159,130,23,6,40,39,1,103,21,1,4,8,8,82,73,3,6,231,14,0,6,8,217,10,37,53,4,12,101
"E02006854",3738,836,712,54,42,309,245,7,14,8,33,124,0,33,1,90,1198,355,20,27,300,6,2,113,81,6,26,66,66,664,109,440,43,2,3,21,46,929,45,11,2,32,18,6,12,10,10,93,64,16,13,763,1,18,550,136,0,58,339,255,24,137,26,49,19,84,84,67,1,1,20,0,4,0,15,1,9,5,1,3,37,0,3,31,3,92,61,33,5,23,31,16,10,2,3,113,94,70,18,6,19,17,2,42,16,4,3,7,2,26,23,1,2,122,7,1,1,5,115,13,22,20,3,6,51
