"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E01004238",2068,478,265,213,842,538,210,79,11,4,552,266,133,100,33,20,84,24,32,28,51,14,18,19,61,12,49
"E01004239",1210,268,116,152,314,165,109,29,7,4,371,153,82,71,42,23,113,25,65,23,86,20,45,21,58,15,43
"E01004240",1269,282,117,165,343,177,116,34,8,8,426,139,101,112,54,20,112,34,49,29,63,20,37,6,43,9,34
"E01004241",1175,264,107,157,341,161,122,46,7,5,367,150,87,70,44,16,97,40,41,16,55,16,32,7,51,29,22
"E01004242",1788,490,289,201,585,356,173,47,6,3,516,230,133,95,41,17,113,45,45,23,47,10,20,17,37,8,29
"E01004243",1272,275,129,146,347,183,133,29,2,0,424,194,92,83,28,27,97,26,54,17,69,16,44,9,60,20,40
"E01004244",1295,285,132,153,324,172,104,40,7,1,379,161,76,81,44,17,130,44,56,30,72,23,41,8,105,51,54
"E01004245",1009,271,62,209,236,82,107,27,13,7,373,90,116,86,71,10,74,11,34,29,34,8,14,12,21,5,16
"E01004246",1540,297,170,127,427,294,95,30,7,1,530,284,115,84,34,13,157,36,105,16,65,20,37,8,64,29,35
"E01004247",1457,324,162,162,466,288,139,31,3,5,431,193,79,95,46,18,101,32,46,23,61,21,31,9,74,41,33
"E01004248",896,196,71,125,236,91,98,38,8,1,289,109,72,58,39,11,69,22,32,15,49,24,19,6,57,34,23
"E01004249",1479,298,127,171,426,238,132,41,10,5,507,241,99,82,57,28,144,42,73,29,54,19,31,4,50,33,17
"E01004250",1688,314,118,196,503,281,171,34,15,2,559,243,124,108,61,23,143,40,82,21,69,23,35,11,100,49,51
"E01004251",1582,320,152,168,487,297,138,37,9,6,460,207,123,89,26,15,128,47,66,15,76,30,34,12,111,56,55
"E01004252",2089,369,185,184,824,571,173,57,15,8,635,337,113,99,59,27,123,39,64,20,74,14,42,18,64,34,30
"E01004253",1639,352,135,217,417,225,143,40,5,4,532,231,107,98,71,25,159,52,75,32,89,35,47,7,90,42,48
"E01004254",1892,228,178,50,917,819,78,14,6,0,614,446,102,50,12,4,92,38,46,8,32,8,20,4,9,5,4
"E01004255",1250,245,148,97,418,277,86,31,21,3,422,228,74,66,47,7,105,44,41,20,34,11,14,9,26,8,18
"E01004256",1299,265,134,131,437,245,144,39,6,3,355,165,70,72,35,13,93,23,51,19,74,21,42,11,75,28,47
"E01004257",1315,297,124,173,419,220,140,48,7,4,388,130,90,83,58,27,93,19,53,21,60,16,31,13,58,19,39
"E01004258",1284,148,92,56,392,308,64,13,5,2,486,316,91,39,28,12,138,53,75,10,67,21,38,8,53,23,30
"E01004259",1442,222,168,54,606,517,64,18,6,1,427,292,60,37,25,13,91,46,36,9,49,25,19,5,47,23,24
"E01004260",1362,322,194,128,453,308,104,33,8,0,385,177,91,64,41,12,67,18,35,14,55,19,25,11,80,33,47
"E01004261",1318,648,548,100,247,129,72,34,11,1,253,87,81,61,20,4,78,29,36,13,47,15,22,10,45,20,25
"E01004262",1132,375,277,98,279,186,61,22,6,4,270,126,65,41,23,15,94,36,42,16,59,19,34,6,55,27,28
"E01004263",1080,257,133,124,241,150,61,23,3,4,338,152,46,69,52,19,105,27,67,11,61,27,28,6,78,37,41
"E01004264",1124,303,172,131,342,195,119,21,4,3,277,87,78,74,29,9,82,21,46,15,65,21,26,18,55,21,34
"E01004266",1257,233,121,112,396,312,50,21,3,10,387,192,73,52,44,26,109,28,61,20,68,20,41,7,64,34,30
"E01004267",1442,356,224,132,554,454,75,13,9,3,377,222,53,59,32,11,93,32,40,21,38,13,18,7,24,8,16
"E01004268",1316,278,145,133,450,309,108,26,6,1,414,184,94,89,41,6,70,32,30,8,51,23,24,4,53,29,24
"E01004269",1515,362,263,99,520,344,123,38,13,2,389,189,95,54,31,20,81,31,39,11,78,34,36,8,85,46,39
"E01004270",1892,566,433,133,708,584,90,21,9,4,453,258,96,42,44,13,85,23,40,22,44,12,25,7,36,14,22
"E01004271",1098,240,131,109,344,155,154,33,1,1,337,133,109,54,32,9,85,36,30,19,50,18,23,9,42,17,25
"E01004272",1443,321,112,209,432,187,177,50,11,7,474,154,145,116,37,22,97,26,47,24,78,23,34,21,41,10,31
"E01004273",1361,344,128,216,400,201,131,41,17,10,392,140,94,92,48,18,115,17,58,40,68,12,33,23,42,18,24
"E01004274",1526,367,173,194,527,306,175,31,10,5,433,196,106,67,49,15,114,22,52,40,56,9,31,16,29,7,22
"E01004275",1521,267,171,96,547,398,116,25,7,1,474,266,100,52,45,11,123,31,75,17,63,20,33,10,47,13,34
"E01004276",1851,239,221,18,880,776,93,9,2,0,577,441,92,27,11,6,114,26,81,7,31,9,20,2,10,3,7
"E01004277",1480,148,140,8,666,564,99,3,0,0,522,392,90,23,13,4,99,29,67,3,39,12,26,1,6,2,4
"E01004280",1473,255,117,138,507,352,127,15,10,3,517,280,120,50,48,19,91,29,54,8,65,23,31,11,38,13,25
"E01004281",1531,239,185,54,764,628,123,9,3,1,432,283,80,41,14,14,72,30,37,5,17,6,8,3,7,3,4
"E01004283",1663,454,207,247,457,289,115,35,15,3,476,188,88,107,77,16,127,46,48,33,78,26,39,13,71,35,36
"E01004284",1766,324,137,187,664,421,205,32,4,2,547,262,123,103,44,15,94,24,53,17,70,30,30,10,67,38,29
"E01004285",1605,422,181,241,435,189,185,40,14,7,509,158,151,122,69,9,116,23,56,37,63,19,26,18,60,24,36
"E01004286",1740,384,155,229,450,253,152,28,12,5,585,258,146,110,57,14,153,33,88,32,87,22,44,21,81,39,42
"E01004287",1662,308,167,141,511,321,150,34,5,1,450,203,108,81,47,11,163,74,67,22,112,49,54,9,118,58,60
"E01004288",1123,246,84,162,280,132,80,48,13,7,396,142,91,87,57,19,83,16,45,22,60,21,31,8,58,27,31
"E01004289",1477,425,295,130,358,268,55,20,12,3,416,186,99,73,42,16,101,27,58,16,86,29,41,16,91,45,46
"E01004290",1093,267,236,31,374,317,42,11,1,3,260,165,38,33,17,7,73,28,44,1,52,19,29,4,67,48,19
"E01004291",1668,130,101,29,619,564,49,5,0,1,630,508,72,29,15,6,165,78,82,5,57,22,34,1,67,33,34
"E01004292",1567,204,164,40,702,627,66,3,3,3,461,319,92,23,21,6,130,42,69,19,49,13,32,4,21,11,10
"E01004293",1925,205,151,54,702,616,74,5,3,4,647,462,109,32,32,12,213,85,116,12,97,46,45,6,61,36,25
"E01004294",1499,228,165,63,577,489,70,13,3,2,490,367,65,34,15,9,117,47,57,13,46,21,20,5,41,21,20
"E01004295",1070,213,99,114,347,166,150,24,5,2,335,136,110,53,29,7,83,24,42,17,52,20,22,10,40,11,29
"E01004296",1293,209,128,81,451,321,105,19,4,2,420,252,69,49,40,10,109,50,47,12,62,25,26,11,42,27,15
"E01004297",1626,177,143,34,615,533,73,4,2,3,587,417,110,34,20,6,127,40,79,8,71,24,43,4,49,21,28
"E01004298",1282,278,161,117,416,272,115,20,5,4,373,216,70,54,24,9,79,17,41,21,91,37,37,17,45,20,25
"E01004300",1029,210,74,136,248,135,69,24,8,12,340,179,59,56,30,16,97,37,45,15,71,26,39,6,63,28,35
"E01004301",975,226,98,128,321,214,79,19,7,2,273,100,73,53,38,9,76,21,35,20,36,10,16,10,43,17,26
"E01004302",1406,331,132,199,489,272,164,41,7,5,458,169,123,103,45,18,52,10,17,25,34,9,12,13,42,20,22
"E01004303",1844,364,229,135,660,427,192,37,3,1,555,319,123,63,34,16,116,47,58,11,84,33,40,11,65,32,33
"E01004304",1473,343,145,198,433,255,135,23,17,3,471,195,127,70,55,24,93,35,37,21,76,23,38,15,57,30,27
"E01004305",1460,313,159,154,449,285,126,31,3,4,423,195,90,77,51,10,104,37,50,17,85,30,40,15,86,40,46
"E01004306",1538,311,212,99,627,499,90,20,9,9,368,206,60,60,31,11,118,40,44,34,62,19,28,15,52,15,37
"E01004307",1719,299,252,47,812,740,57,11,4,0,473,376,52,16,18,11,86,33,43,10,33,13,16,4,16,6,10
"E01004308",1194,279,185,94,391,286,72,20,5,8,324,161,78,57,19,9,89,25,42,22,69,15,40,14,42,16,26
"E01004309",1967,438,257,181,751,558,138,38,14,3,494,256,103,83,31,21,124,35,56,33,95,23,47,25,65,25,40
"E01004310",1624,381,254,127,598,486,80,16,14,2,407,235,62,61,34,15,103,33,44,26,80,34,34,12,55,26,29
"E01004311",1215,190,130,60,396,288,77,23,5,3,394,240,77,43,26,8,82,25,47,10,76,30,29,17,77,33,44
"E01004312",1288,280,176,104,376,275,71,13,11,6,348,179,73,53,36,7,122,51,55,16,73,31,28,14,89,44,45
"E01004313",1578,326,232,94,614,460,108,37,4,5,421,221,72,89,28,11,84,28,43,13,59,25,26,8,74,30,44
"E01004314",939,101,71,30,315,276,35,3,0,1,326,197,65,40,15,9,80,25,49,6,61,29,32,0,56,32,24
"E01004315",1438,253,177,76,503,434,42,17,9,1,402,278,54,31,33,6,132,47,63,22,77,26,44,7,71,38,33
"E01004316",933,197,131,66,374,297,59,12,4,2,254,146,49,33,17,9,61,26,20,15,30,7,15,8,17,3,14
"E01004317",2365,426,311,115,1190,1048,92,31,11,8,562,384,90,53,28,7,97,24,43,30,46,8,24,14,44,10,34
"E01004318",1114,232,155,77,341,226,81,25,6,3,393,225,54,53,40,21,74,39,30,5,30,14,15,1,44,20,24
"E01004319",1470,390,228,162,490,291,146,37,12,4,349,155,99,55,30,10,101,25,38,38,81,18,34,29,59,12,47
"E01004321",1451,288,146,142,516,352,121,27,5,11,429,254,66,66,28,15,71,16,30,25,89,26,40,23,58,23,35
"E01004322",927,166,93,73,282,189,74,11,5,3,309,169,69,32,29,10,69,26,35,8,41,15,23,3,60,41,19
"E01004323",1190,293,188,105,432,292,112,12,11,5,300,150,70,43,26,11,64,12,35,17,54,12,27,15,47,24,23
"E01004324",1176,271,125,146,375,245,102,19,5,4,348,135,74,80,47,12,79,21,34,24,60,11,33,16,43,19,24
"E01004325",2182,552,459,93,1082,965,81,30,5,1,415,276,62,43,31,3,50,8,27,15,46,6,24,16,37,11,26
"E01004326",1174,261,190,71,405,308,76,18,2,1,335,202,73,42,16,2,68,33,18,17,49,21,23,5,56,30,26
"E01032764",1145,194,148,46,521,451,54,8,7,1,308,226,38,21,20,3,49,17,25,7,40,15,18,7,33,21,12
"E01032765",1238,299,192,107,466,397,52,15,1,1,325,178,43,56,33,15,80,25,42,13,37,12,21,4,31,15,16
"E01032766",1138,268,205,63,524,452,58,8,3,3,272,184,40,27,12,9,51,17,23,11,16,5,6,5,7,2,5
"E01032767",1516,338,311,27,818,784,28,0,5,1,280,227,29,8,15,1,56,33,21,2,17,3,11,3,7,1,6
"E01032768",1181,122,107,15,612,519,84,7,0,2,370,296,58,11,1,4,50,19,26,5,18,5,12,1,9,2,7
"E01032769",1050,122,97,25,481,394,73,11,2,1,341,238,58,25,16,4,65,24,36,5,28,6,21,1,13,5,8
"E01032770",1037,197,162,35,518,424,85,8,1,0,205,136,35,23,9,2,46,22,18,6,38,24,12,2,33,19,14
"E01032771",923,179,106,73,418,363,45,6,1,3,262,162,44,38,12,6,42,15,25,2,13,5,7,1,9,0,9
"E01032772",970,216,137,79,353,286,55,7,3,2,267,169,44,22,18,14,61,25,26,10,46,15,21,10,27,11,16
"E01032773",1294,267,203,64,684,564,106,11,3,0,310,216,48,33,10,3,22,9,13,0,8,2,5,1,3,1,2
"E01032774",1016,175,102,73,461,300,126,24,8,3,285,178,40,35,18,14,55,17,30,8,23,5,14,4,17,8,9
"E01032775",989,120,103,17,480,392,74,14,0,0,315,254,43,7,10,1,50,17,30,3,16,5,10,1,8,1,7
"E01032776",980,175,157,18,571,486,75,8,1,1,204,168,24,7,4,1,17,11,4,2,6,1,5,0,7,1,6
"E01032777",948,178,125,53,435,356,62,14,1,2,293,161,57,41,30,4,24,4,10,10,11,4,2,5,7,3,4
"E01032778",970,177,157,20,556,455,92,6,3,0,194,149,31,13,0,1,32,6,21,5,6,4,2,0,5,1,4
"E01032779",897,132,116,16,508,403,83,21,1,0,219,159,42,13,5,0,28,12,14,2,5,2,3,0,5,0,5
"E01032780",1218,182,173,9,609,538,67,1,3,0,353,262,61,18,10,2,46,10,33,3,19,1,17,1,9,1,8
"E01032781",1378,195,154,41,653,559,81,12,0,1,429,324,52,35,9,9,59,10,41,8,26,6,16,4,16,5,11
"E01032782",1278,292,198,94,526,427,72,24,3,0,390,249,68,51,18,4,38,12,14,12,19,3,14,2,13,6,7
"E01032783",1225,197,139,58,542,465,63,10,3,1,330,234,40,24,21,11,75,28,39,8,43,22,18,3,38,20,18
"E01032784",1291,308,242,66,588,492,80,15,1,0,266,163,31,47,20,5,51,14,27,10,28,16,11,1,50,28,22
"E01032785",1126,117,84,33,632,531,82,14,5,0,310,194,71,27,12,6,31,11,14,6,18,8,9,1,18,9,9
"E01032786",1189,160,90,70,420,297,89,28,6,0,422,239,89,66,17,11,71,39,27,5,45,20,24,1,71,40,31
"E01032787",1904,468,234,234,607,369,162,55,15,6,557,205,157,106,62,27,124,26,65,33,86,22,33,31,62,26,36
