"GeographyCode","QS407EW0001","QS407EW0002","QS407EW0003","QS407EW0004","QS407EW0005","QS407EW0006","QS407EW0007","QS407EW0008","QS407EW0009","QS407EW0010"
"E00021297",156,0,14,24,20,43,39,11,3,2
"E00021298",173,0,15,21,35,53,35,10,3,1
"E00021299",165,1,9,36,55,42,16,2,4,0
"E00021300",181,1,7,14,33,50,42,14,11,9
"E00021301",175,2,15,33,98,22,3,0,1,1
"E00021302",185,8,11,46,60,23,17,6,4,10
"E00021303",126,3,10,46,25,23,13,0,3,3
"E00021304",119,4,2,12,38,44,10,4,3,2
"E00021305",100,2,0,9,15,25,21,17,4,7
"E00021306",126,3,21,21,24,10,11,15,13,8
"E00021307",183,4,28,29,26,27,36,21,6,6
"E00021308",139,0,9,24,28,27,16,9,12,14
"E00021309",105,2,5,41,50,4,2,0,0,1
"E00021310",112,0,8,7,17,75,4,0,1,0
"E00021311",119,1,0,27,27,55,6,0,2,1
"E00021312",123,4,10,7,45,27,26,2,1,1
"E00021313",204,3,25,50,51,38,22,7,6,2
"E00021314",148,1,5,27,23,42,26,16,7,1
"E00021315",112,4,5,90,8,2,0,1,1,1
"E00021316",102,0,0,6,33,26,31,2,2,2
"E00021317",123,0,3,10,15,31,29,16,15,4
"E00021318",142,1,17,39,26,41,13,4,1,0
"E00021319",138,4,22,19,38,43,10,2,0,0
"E00021320",120,2,7,10,18,58,18,3,2,2
"E00021321",114,1,12,17,31,38,11,1,3,0
"E00021322",116,2,7,15,39,44,5,1,1,2
"E00021323",138,1,6,45,29,39,11,5,0,2
"E00021324",166,2,21,46,23,31,27,10,6,0
"E00021325",150,4,6,40,39,35,20,3,2,1
"E00021326",134,2,7,11,62,44,3,3,0,2
"E00021327",178,2,9,45,40,36,24,12,6,4
"E00021328",131,0,6,8,61,46,8,0,2,0
"E00021329",187,12,20,76,20,45,10,4,0,0
"E00021330",122,6,23,30,19,33,5,1,1,4
"E00021331",90,1,11,22,51,5,0,0,0,0
"E00021332",134,8,4,18,27,59,13,0,2,3
"E00021333",126,2,9,25,58,19,10,1,2,0
"E00021334",155,2,6,49,67,26,3,1,0,1
"E00021335",180,0,6,19,53,58,33,6,3,2
"E00021336",88,2,4,8,42,28,3,0,1,0
"E00021337",88,0,6,8,33,20,14,2,1,4
"E00021338",134,2,16,21,58,20,9,2,4,2
"E00021339",125,5,8,26,26,36,21,2,0,1
"E00021340",211,10,64,82,21,24,9,0,1,0
"E00021342",101,1,8,9,74,4,2,0,2,1
"E00021344",152,0,0,9,22,103,11,5,2,0
"E00021345",115,1,3,12,83,7,6,2,0,1
"E00021346",116,0,6,21,63,16,4,5,1,0
"E00021347",149,1,8,49,64,23,3,0,1,0
"E00021349",136,4,8,44,31,31,13,2,1,2
"E00021350",110,1,7,23,35,16,24,3,1,0
"E00021351",134,4,12,40,53,15,7,0,3,0
"E00021352",116,2,9,23,51,25,4,1,1,0
"E00021353",127,8,12,46,43,15,0,2,0,1
"E00021354",142,1,3,32,51,28,21,5,0,1
"E00021355",161,5,15,64,55,17,2,0,0,3
"E00021357",118,1,6,22,35,37,14,2,0,1
"E00021359",110,4,3,17,44,28,7,2,4,1
"E00021360",127,3,10,25,50,27,8,1,1,2
"E00021361",131,3,3,41,47,20,15,2,0,0
"E00021363",141,0,4,15,73,37,9,1,1,1
"E00021364",161,0,9,17,41,45,34,12,2,1
"E00021365",139,3,22,53,26,32,2,1,0,0
"E00021366",141,1,6,31,55,38,8,0,0,2
"E00021367",133,1,9,26,44,44,9,0,0,0
"E00021368",140,2,5,29,74,20,8,1,0,1
"E00021369",60,0,2,1,26,17,10,2,0,2
"E00021370",172,0,13,33,43,47,17,13,4,2
"E00021371",46,0,2,4,20,3,17,0,0,0
"E00021372",148,1,15,45,40,41,4,1,1,0
"E00021374",126,2,0,23,32,43,12,5,5,4
"E00021375",135,2,3,24,44,43,9,9,1,0
"E00021376",129,5,7,29,19,64,1,1,1,2
"E00021377",219,4,11,55,85,50,11,1,0,2
"E00021378",177,17,17,45,56,33,6,2,0,1
"E00021379",130,4,17,38,11,39,18,2,1,0
"E00021380",117,4,25,32,15,29,5,4,3,0
"E00021381",141,9,9,25,38,50,7,1,2,0
"E00021382",124,2,7,24,57,20,9,3,0,2
"E00021383",176,3,11,40,41,40,31,5,2,3
"E00021384",122,16,24,26,26,17,9,3,1,0
"E00021385",155,1,23,32,32,38,23,3,1,2
"E00021386",120,0,2,19,27,50,19,1,2,0
"E00021387",225,0,13,35,83,62,15,14,3,0
"E00021388",141,7,15,42,35,22,11,5,4,0
"E00021391",155,4,6,52,45,29,14,4,1,0
"E00021392",161,0,7,32,79,34,7,1,1,0
"E00021393",147,4,9,17,59,38,13,2,4,1
"E00021394",137,2,9,45,59,15,4,1,0,2
"E00021395",119,2,6,27,67,13,4,0,0,0
"E00021396",147,4,6,31,82,21,3,0,0,0
"E00021397",171,2,5,24,29,92,12,3,3,1
"E00021398",175,3,7,41,75,35,13,0,1,0
"E00021399",175,0,12,40,54,36,16,10,5,2
"E00021400",137,4,8,24,34,47,13,5,0,2
"E00021402",119,1,6,33,36,38,5,0,0,0
"E00021404",143,2,26,50,51,11,0,1,1,1
"E00021405",132,0,3,18,29,50,20,8,2,2
"E00021406",146,0,17,32,57,32,5,1,1,1
"E00021407",193,2,29,56,59,32,7,1,1,6
"E00021408",171,3,10,53,62,26,11,6,0,0
"E00021409",142,2,14,51,40,15,18,1,1,0
"E00021410",112,1,3,25,11,46,14,10,1,1
"E00021411",153,2,8,45,42,42,11,0,3,0
"E00021412",136,4,7,13,75,26,9,2,0,0
"E00021413",141,3,14,42,49,24,2,5,1,1
"E00021414",107,1,2,11,45,42,4,1,1,0
"E00021415",125,8,7,11,56,32,9,1,0,1
"E00021416",123,1,9,16,32,50,12,1,1,1
"E00021417",119,2,16,32,43,21,5,0,0,0
"E00021418",118,2,11,41,45,16,2,0,1,0
"E00021419",135,1,3,26,62,34,8,1,0,0
"E00021420",128,2,7,35,48,21,13,2,0,0
"E00021421",195,2,47,70,35,28,7,4,0,2
"E00021422",87,7,9,22,30,16,2,1,0,0
"E00021423",140,2,8,26,54,35,10,3,1,1
"E00021424",105,0,2,21,59,10,7,4,1,1
"E00021425",133,0,7,46,60,15,5,0,0,0
"E00021426",109,3,4,7,60,25,8,0,2,0
"E00021427",124,1,10,35,57,16,2,2,1,0
"E00021428",140,0,9,36,74,9,10,1,1,0
"E00021429",60,0,2,18,31,5,4,0,0,0
"E00021430",125,3,16,26,74,1,3,1,1,0
"E00021431",125,3,9,41,37,5,19,9,2,0
"E00021432",159,5,9,48,61,23,8,1,0,4
"E00021433",243,7,20,87,65,44,10,6,3,1
"E00021434",127,3,4,30,17,57,9,7,0,0
"E00021437",118,1,6,33,36,21,13,2,2,4
"E00021438",103,5,6,30,17,37,7,0,1,0
"E00021439",90,1,5,32,24,28,0,0,0,0
"E00021440",128,2,0,14,50,43,13,3,2,1
"E00021441",129,0,3,10,32,63,16,4,1,0
"E00021442",130,1,2,14,23,76,10,2,0,2
"E00021443",116,8,6,37,18,29,15,1,1,1
"E00021444",117,4,3,18,25,27,26,6,8,0
"E00021445",116,0,8,18,50,27,11,1,0,1
"E00021446",117,1,8,16,53,35,2,1,1,0
"E00021447",123,0,8,26,61,25,3,0,0,0
"E00021448",139,2,10,13,104,10,0,0,0,0
"E00021449",138,3,20,17,28,48,16,4,0,2
"E00021450",71,0,0,6,11,41,11,1,1,0
"E00021451",147,4,17,30,73,19,3,0,1,0
"E00021452",117,1,7,44,52,8,0,0,4,1
"E00021453",129,1,2,36,28,48,12,0,2,0
"E00021454",116,0,12,11,46,40,5,1,0,1
"E00021455",148,5,18,26,71,26,2,0,0,0
"E00021458",148,6,28,67,28,8,4,5,1,1
"E00021459",139,2,12,70,34,20,1,0,0,0
"E00021460",166,1,12,48,81,13,5,3,1,2
"E00021461",120,1,7,53,53,5,0,1,0,0
"E00021462",137,4,12,45,47,22,3,2,1,1
"E00021463",130,3,6,29,38,42,9,2,1,0
"E00021464",128,0,16,40,50,18,2,2,0,0
"E00021465",128,0,4,7,65,42,8,1,1,0
"E00021466",139,9,12,16,45,20,15,6,5,11
"E00021467",121,6,14,26,29,30,8,3,0,5
"E00021468",111,3,10,39,24,24,7,2,1,1
"E00021469",149,4,9,21,42,57,9,5,1,1
"E00021470",117,1,5,32,40,10,18,4,3,4
"E00021471",134,0,10,19,69,25,4,5,2,0
"E00021473",95,4,3,19,38,23,3,2,2,1
"E00021474",122,4,5,27,38,30,15,3,0,0
"E00021475",122,7,9,17,34,48,5,1,0,1
"E00021476",122,0,5,8,41,53,8,2,3,2
"E00021477",166,4,29,51,17,20,21,10,9,5
"E00021478",130,2,20,31,23,20,21,10,1,2
"E00021479",151,2,15,22,36,41,27,4,0,4
"E00021480",144,1,7,45,81,7,1,1,1,0
"E00021481",134,1,4,24,48,46,6,3,1,1
"E00021482",127,0,1,7,11,51,38,15,3,1
"E00021483",231,3,31,94,50,47,4,2,0,0
"E00021484",114,0,0,8,27,36,23,13,5,2
"E00021485",122,0,9,23,57,25,3,2,1,2
"E00021486",121,1,2,7,38,58,11,3,1,0
"E00021487",71,1,1,3,26,31,7,1,0,1
"E00021488",157,1,13,45,24,63,4,1,5,1
"E00021489",119,2,6,30,55,14,12,0,0,0
"E00021490",115,2,4,35,61,8,4,0,1,0
"E00021491",87,0,8,12,32,27,5,2,0,1
"E00021492",136,4,11,49,52,13,7,0,0,0
"E00021493",126,2,7,18,57,31,10,0,1,0
"E00021494",176,0,5,57,26,50,25,11,2,0
"E00021495",184,8,30,48,31,48,10,4,3,2
"E00021496",107,1,8,18,46,21,9,0,3,1
"E00021497",133,2,10,12,47,42,13,4,2,1
"E00021498",127,3,9,32,53,23,4,0,0,3
"E00021499",124,5,12,28,36,21,10,6,5,1
"E00021500",139,0,8,51,49,15,5,2,5,4
"E00021501",131,4,20,42,33,18,7,2,2,3
"E00021502",134,17,9,26,29,27,17,6,0,3
"E00021503",129,3,10,36,73,3,3,0,0,1
"E00021504",164,5,27,54,68,5,4,1,0,0
"E00021505",95,3,6,19,33,18,15,1,0,0
"E00021506",142,5,9,56,62,7,1,0,0,2
"E00021507",169,2,31,73,37,17,6,3,0,0
"E00021508",136,7,12,33,56,21,4,3,0,0
"E00021509",184,1,17,33,64,47,11,7,2,2
"E00021510",121,1,3,33,55,19,6,0,0,4
"E00021511",109,0,1,19,69,13,3,3,0,1
"E00021516",106,1,9,26,35,29,4,1,1,0
"E00021517",136,4,16,45,49,12,3,5,0,2
"E00021518",151,4,23,42,38,36,5,3,0,0
"E00021519",200,1,18,43,54,45,27,10,0,2
"E00021520",97,3,7,27,24,20,8,6,0,2
"E00021521",98,0,0,6,40,43,7,1,1,0
"E00021522",136,2,6,29,27,34,9,27,1,1
"E00021524",194,1,23,32,38,50,35,5,1,9
"E00021525",134,0,14,46,31,24,17,1,1,0
"E00021526",169,2,8,67,55,21,7,4,1,4
"E00021527",145,2,12,40,39,34,10,6,2,0
"E00021528",94,0,0,7,25,31,25,5,0,1
"E00021529",116,3,24,45,38,3,1,1,1,0
"E00021531",186,2,9,36,72,39,16,3,1,8
"E00021532",138,0,4,18,61,31,15,6,3,0
"E00021533",141,0,13,71,44,8,3,0,0,2
"E00021534",127,5,25,55,36,4,2,0,0,0
"E00021535",115,0,15,21,15,40,17,6,1,0
"E00021536",118,19,1,26,34,15,17,3,1,2
"E00021537",163,0,4,83,42,22,5,5,2,0
"E00021538",309,0,16,59,119,62,26,21,4,2
"E00021539",138,3,15,41,49,20,9,0,1,0
"E00021541",139,0,34,42,54,7,2,0,0,0
"E00021542",106,1,5,27,47,16,8,2,0,0
"E00021543",142,0,8,53,69,6,6,0,0,0
"E00021544",83,0,2,5,66,6,1,2,0,1
"E00021546",102,0,9,32,45,15,1,0,0,0
"E00021547",115,2,7,52,21,26,3,0,2,2
"E00021549",128,3,3,26,25,52,12,3,2,2
"E00021550",150,5,21,35,51,13,19,3,2,1
"E00021552",99,2,1,24,28,33,10,0,1,0
"E00021553",119,1,5,18,40,44,8,0,1,2
"E00021554",127,0,20,32,52,19,2,1,1,0
"E00021555",145,0,3,36,68,17,6,2,13,0
"E00021556",147,0,10,42,80,8,1,4,0,2
"E00021557",172,1,36,27,96,10,1,1,0,0
"E00021559",157,2,6,16,53,49,24,5,1,1
"E00021560",157,1,11,40,72,21,9,1,1,1
"E00021561",144,4,53,39,28,12,6,1,0,1
"E00021562",140,1,9,49,25,44,6,2,4,0
"E00021563",124,2,8,10,28,33,27,8,2,6
"E00021564",123,2,4,30,22,43,19,2,0,1
"E00021565",89,2,2,32,35,14,2,2,0,0
"E00021566",156,7,26,19,35,27,16,10,11,5
"E00021567",143,3,8,20,41,49,15,4,2,1
"E00021569",142,10,14,24,59,21,3,0,7,4
"E00021572",143,10,16,18,49,35,14,0,1,0
"E00021574",93,0,5,19,17,30,18,3,1,0
"E00021577",128,4,3,57,41,17,6,0,0,0
"E00021579",106,6,9,25,37,21,5,1,2,0
"E00021580",124,4,8,32,26,38,10,3,1,2
"E00021582",98,0,3,14,19,24,14,18,6,0
"E00021583",150,1,16,45,42,30,8,3,2,3
"E00021584",113,2,11,19,34,26,13,5,2,1
"E00021585",149,2,5,21,36,45,24,13,1,2
"E00021586",130,0,4,8,81,23,7,2,4,1
"E00021587",128,1,1,10,73,38,4,0,0,1
"E00021588",148,2,15,48,76,3,2,1,0,1
"E00021590",137,2,3,24,51,34,22,1,0,0
"E00021591",127,1,6,24,61,18,8,4,3,2
"E00021592",112,0,6,10,31,53,10,0,2,0
"E00021593",140,4,13,88,12,11,8,1,1,2
"E00021594",129,10,21,12,8,50,25,2,0,1
"E00021595",134,3,11,49,23,35,8,4,0,1
"E00021596",164,1,8,38,55,43,9,8,0,2
"E00021597",121,1,5,20,51,31,10,2,1,0
"E00021598",115,2,8,11,40,23,24,4,3,0
"E00021599",162,2,13,32,71,30,11,1,1,1
"E00021600",164,1,15,43,54,23,11,11,4,2
"E00021601",118,12,15,22,31,22,9,4,1,2
"E00021602",124,0,2,7,25,50,20,14,6,0
"E00021603",108,14,23,36,19,15,0,1,0,0
"E00021604",154,0,9,41,71,28,5,0,0,0
"E00021605",157,1,8,47,62,33,2,2,2,0
"E00021606",175,3,7,49,73,16,10,9,4,4
"E00021607",119,8,20,32,35,13,9,1,1,0
"E00021608",116,1,9,34,48,19,2,3,0,0
"E00021610",152,3,10,49,61,23,3,1,1,1
"E00021611",155,0,19,46,45,22,9,10,2,2
"E00021612",139,9,42,53,25,6,4,0,0,0
"E00021613",125,14,37,41,21,8,3,1,0,0
"E00021614",160,6,25,52,48,15,9,2,1,2
"E00021615",146,5,54,52,24,10,0,0,0,1
"E00021616",122,0,4,15,39,52,10,2,0,0
"E00021617",109,21,26,21,32,8,0,0,0,1
"E00021618",95,2,7,21,54,4,5,1,0,1
"E00021619",162,3,8,34,56,54,4,1,2,0
"E00021620",125,6,18,48,32,17,3,1,0,0
"E00021621",121,3,10,36,39,14,16,0,1,2
"E00021622",134,0,32,45,44,8,2,2,1,0
"E00021623",91,0,5,36,30,17,2,0,0,1
"E00021624",171,2,9,50,83,22,5,0,0,0
"E00021625",247,10,35,83,89,20,6,2,1,1
"E00021626",212,6,28,98,58,20,1,0,1,0
"E00021627",201,17,55,62,44,17,4,1,1,0
"E00021628",108,0,3,18,44,23,11,2,2,5
"E00021629",125,0,17,34,52,13,4,2,2,1
"E00021630",129,3,14,59,31,15,5,1,0,1
"E00021631",144,0,1,24,112,6,0,0,1,0
"E00021632",119,0,10,30,43,22,11,2,1,0
"E00021633",114,6,4,30,54,14,5,1,0,0
"E00021634",136,0,5,50,48,18,12,2,1,0
"E00021635",117,0,19,43,34,14,6,1,0,0
"E00021636",114,0,6,20,50,17,17,3,0,1
"E00021637",174,1,7,50,85,21,4,4,0,2
"E00021639",93,4,10,20,10,25,10,8,4,2
"E00021640",149,6,10,34,67,18,6,3,1,4
"E00021641",135,1,19,21,38,20,17,12,4,3
"E00021642",127,2,11,38,59,14,2,1,0,0
"E00021643",91,9,12,14,41,11,1,0,1,2
"E00021644",138,3,8,48,18,38,20,3,0,0
"E00021646",155,1,10,34,64,29,12,3,1,1
"E00021648",102,0,12,27,23,25,12,2,0,1
"E00021649",127,4,14,34,23,35,11,3,3,0
"E00021650",105,2,9,22,53,9,7,1,0,2
"E00021651",139,0,14,45,59,12,5,3,0,1
"E00021652",148,0,13,44,72,17,0,2,0,0
"E00021653",175,7,21,65,52,17,7,2,1,3
"E00021654",144,4,27,44,32,24,3,6,3,1
"E00021655",80,3,11,14,20,28,1,0,3,0
"E00021656",159,3,12,31,30,52,18,3,3,7
"E00021657",112,0,12,31,58,9,1,1,0,0
"E00021658",93,1,1,12,49,16,6,5,1,2
"E00021659",136,2,38,43,22,16,10,2,2,1
"E00021660",117,3,5,29,36,39,3,1,1,0
"E00021661",207,7,34,86,23,19,27,2,3,6
"E00021662",179,4,14,13,40,82,18,5,2,1
"E00021663",138,3,5,86,38,3,1,1,1,0
"E00021665",149,4,12,27,49,45,9,1,2,0
"E00021666",221,4,29,69,83,18,5,1,8,4
"E00021667",142,4,16,36,45,21,12,5,1,2
"E00021668",248,7,48,96,49,43,2,1,1,1
"E00021669",133,1,4,17,58,37,7,6,2,1
"E00021670",123,0,8,24,61,27,0,1,0,2
"E00021671",101,1,6,18,24,35,8,6,1,2
"E00021672",142,3,10,31,39,33,14,8,3,1
"E00021673",139,13,24,38,36,17,11,0,0,0
"E00021674",155,6,8,54,57,18,2,2,6,2
"E00021675",162,3,7,43,53,43,10,1,1,1
"E00021676",168,6,25,74,54,9,0,0,0,0
"E00021677",120,2,18,33,34,22,9,2,0,0
"E00021678",166,2,10,27,54,44,11,13,4,1
"E00021679",58,0,6,15,18,9,6,1,1,2
"E00021680",194,8,27,30,35,23,21,17,15,18
"E00021681",147,3,17,71,35,10,7,2,2,0
"E00021682",160,5,16,20,32,56,14,16,1,0
"E00021683",156,1,7,49,36,43,9,4,3,4
"E00021685",220,11,23,70,59,21,19,5,8,4
"E00021686",182,6,64,51,23,22,12,2,0,2
"E00021687",189,2,38,67,31,20,23,3,3,2
"E00021688",142,6,11,50,44,12,10,5,2,2
"E00021689",162,5,44,52,43,9,7,0,1,1
"E00021690",218,10,58,81,43,12,8,4,2,0
"E00021691",139,11,13,49,38,17,8,1,0,2
"E00021692",156,7,18,44,61,7,6,2,6,5
"E00021693",199,14,31,65,61,19,6,0,2,1
"E00021694",162,4,17,47,37,26,19,7,1,4
"E00021695",154,5,12,45,51,24,9,5,2,1
"E00021696",186,4,42,53,31,21,24,5,4,2
"E00021697",143,9,3,36,76,12,4,1,2,0
"E00021698",159,1,3,23,57,40,30,5,0,0
"E00021699",172,1,20,70,40,21,14,5,1,0
"E00021700",222,7,31,78,48,30,19,4,1,4
"E00021701",184,3,12,23,54,71,11,4,1,5
"E00021702",124,0,5,16,45,51,5,1,1,0
"E00021703",123,4,11,27,37,39,3,2,0,0
"E00021704",157,1,19,44,69,12,9,3,0,0
"E00021705",175,5,19,31,68,41,8,3,0,0
"E00021706",111,4,13,26,23,25,16,4,0,0
"E00021707",143,3,17,29,54,34,5,1,0,0
"E00021708",130,0,5,18,49,37,13,2,3,3
"E00021709",111,2,10,10,44,34,9,1,1,0
"E00021710",116,2,3,23,23,41,18,3,1,2
"E00021711",200,4,34,48,78,27,3,3,3,0
"E00021712",150,8,27,51,39,11,4,5,2,3
"E00021713",98,1,8,31,27,28,1,0,2,0
"E00021714",100,2,12,41,29,7,3,6,0,0
"E00021715",135,4,21,23,48,27,8,2,0,2
"E00021716",165,5,5,83,42,22,5,1,2,0
"E00021717",109,5,17,33,26,16,9,1,0,2
"E00021718",155,3,28,50,45,10,13,2,1,3
"E00021719",56,0,1,6,22,19,6,1,1,0
"E00021722",158,1,31,67,29,24,4,1,0,1
"E00021723",110,1,7,15,47,23,13,2,1,1
"E00021724",120,6,12,17,41,25,13,2,3,1
"E00021725",116,0,3,28,39,27,16,1,0,2
"E00021726",108,2,9,36,58,2,0,0,0,1
"E00021727",111,7,22,34,25,13,8,2,0,0
"E00021728",114,4,6,32,43,22,6,0,0,1
"E00021729",72,3,0,11,21,33,2,2,0,0
"E00021730",163,3,17,37,67,30,5,1,0,3
"E00021731",156,5,22,36,77,8,6,1,1,0
"E00021732",98,0,2,16,39,31,10,0,0,0
"E00021733",250,58,47,45,31,22,18,17,9,3
"E00021734",208,7,17,88,47,29,11,7,1,1
"E00021735",138,11,11,23,34,32,13,12,1,1
