"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E00021170",332,60,29,31,112,68,26,13,5,0,103,35,37,16,13,2,36,12,17,7,16,5,8,3,5,2,3
"E00021171",507,111,54,57,191,133,42,11,3,2,138,70,32,17,14,5,35,13,13,9,14,2,5,7,18,3,15
"E00021172",236,42,22,20,54,40,7,2,4,1,86,55,7,8,13,3,38,17,15,6,9,3,6,0,7,3,4
"E00021173",294,57,28,29,93,70,20,1,1,1,95,44,26,13,6,6,22,12,6,4,13,7,4,2,14,7,7
"E00021174",220,17,16,1,96,91,5,0,0,0,83,74,5,1,2,1,22,16,6,0,1,1,0,0,1,1,0
"E00021175",245,27,17,10,116,105,9,2,0,0,62,38,11,5,8,0,22,5,17,0,7,3,3,1,11,7,4
"E00021176",251,36,18,18,73,60,4,8,0,1,91,54,18,4,12,3,21,12,8,1,13,5,8,0,17,5,12
"E00021177",310,78,43,35,97,63,26,5,3,0,84,26,26,22,10,0,18,5,11,2,19,8,8,3,14,4,10
"E00021179",293,86,60,26,113,101,4,5,3,0,74,53,3,12,6,0,13,3,9,1,4,2,1,1,3,2,1
"E00021180",340,89,62,27,119,80,28,8,2,1,96,44,27,16,5,4,21,8,8,5,10,4,6,0,5,2,3
"E00021181",209,51,38,13,79,67,7,1,3,1,63,52,7,1,1,2,7,3,2,2,3,2,0,1,6,3,3
"E00021182",317,56,52,4,165,150,9,4,2,0,85,60,10,6,5,4,6,5,0,1,3,0,2,1,2,1,1
"E00021183",222,29,29,0,113,112,1,0,0,0,66,55,5,3,3,0,12,9,3,0,1,1,0,0,1,0,1
"E00021184",132,28,23,5,51,46,3,2,0,0,47,28,11,6,2,0,4,1,3,0,1,0,0,1,1,1,0
"E00021185",244,46,20,26,68,56,12,0,0,0,91,50,12,13,10,6,23,9,12,2,7,4,3,0,9,7,2
"E00021186",351,101,43,58,89,55,24,4,5,1,91,35,10,27,15,4,29,11,9,9,23,7,14,2,18,7,11
"E00021187",198,35,19,16,70,25,33,9,3,0,58,17,16,18,6,1,16,5,8,3,11,1,8,2,8,4,4
"E00021188",261,85,57,28,42,29,8,0,3,2,64,36,14,6,5,3,30,8,15,7,22,13,6,3,18,14,4
"E00021189",320,94,53,41,90,61,21,4,4,0,68,27,14,12,13,2,31,7,14,10,22,5,8,9,15,7,8
"E00021190",381,100,65,35,169,138,24,5,2,0,80,51,14,7,6,2,15,5,5,5,9,6,2,1,8,4,4
"E00021191",305,74,28,46,109,68,36,4,1,0,91,47,21,13,9,1,13,4,7,2,10,0,8,2,8,0,8
"E00021192",248,61,31,30,79,39,26,7,0,7,57,17,18,7,11,4,21,7,5,9,15,7,6,2,15,9,6
"E00021193",314,73,71,2,154,148,5,1,0,0,77,70,6,1,0,0,9,4,4,1,1,1,0,0,0,0,0
"E00021194",413,123,62,61,127,81,25,17,3,1,129,39,38,34,15,3,22,7,6,9,7,1,4,2,5,1,4
"E00021195",295,101,66,35,79,54,21,3,1,0,78,26,19,21,8,4,16,2,5,9,12,2,6,4,9,4,5
"E00021196",251,49,12,37,76,35,31,7,3,0,87,25,36,15,7,4,22,4,10,8,11,3,5,3,6,2,4
"E00021197",362,58,49,9,152,125,20,6,1,0,113,87,13,8,3,2,20,5,13,2,14,4,10,0,5,3,2
"E00021198",221,44,16,28,76,50,15,8,3,0,63,12,19,17,14,1,21,7,11,3,10,3,3,4,7,4,3
"E00021199",144,19,11,8,46,29,14,3,0,0,58,43,7,5,0,3,13,12,1,0,7,6,1,0,1,1,0
"E00021200",252,60,26,34,94,65,17,8,3,1,60,21,15,11,10,3,18,5,9,4,14,7,6,1,6,2,4
"E00021201",247,52,37,15,81,54,14,11,2,0,69,36,16,12,3,2,19,4,13,2,11,3,4,4,15,4,11
"E00021202",191,48,12,36,52,29,15,7,0,1,62,15,15,23,4,5,12,3,7,2,5,1,1,3,12,6,6
"E00021203",203,40,31,9,66,44,15,7,0,0,53,37,4,10,2,0,11,3,8,0,19,9,9,1,14,7,7
"E00021204",342,108,65,43,103,76,22,3,2,0,84,39,12,15,13,5,31,6,16,9,10,0,7,3,6,1,5
"E00021205",254,71,37,34,80,47,22,7,2,2,66,20,19,8,12,7,13,1,4,8,15,1,5,9,9,5,4
"E00021206",164,28,11,17,64,31,19,11,1,2,43,15,15,11,2,0,11,2,4,5,7,1,5,1,11,1,10
"E00021207",249,29,27,2,128,126,2,0,0,0,51,42,6,0,3,0,11,6,5,0,12,10,2,0,18,16,2
"E00021208",233,63,40,23,73,46,21,6,0,0,65,32,13,8,8,4,15,5,5,5,7,1,4,2,10,4,6
"E00021209",184,44,29,15,73,34,28,7,4,0,37,16,8,8,5,0,16,3,8,5,9,2,3,4,5,2,3
"E00021210",232,78,40,38,62,30,21,4,4,3,67,24,17,11,11,4,8,1,4,3,9,1,5,3,8,3,5
"E00021211",302,62,50,12,125,93,27,5,0,0,82,48,17,14,0,3,18,5,10,3,13,6,3,4,2,1,1
"E00021212",206,64,30,34,55,31,17,6,1,0,61,25,18,6,11,1,11,1,6,4,12,4,7,1,3,1,2
"E00021213",312,74,33,41,115,67,38,6,3,1,70,33,13,13,9,2,22,8,10,4,17,6,8,3,14,4,10
"E00021214",340,96,59,37,108,75,30,3,0,0,83,40,18,17,4,4,23,3,17,3,16,3,10,3,14,3,11
"E00021215",319,87,80,7,120,110,7,2,1,0,75,56,12,2,4,1,27,13,11,3,4,4,0,0,6,4,2
"E00021216",264,56,38,18,82,66,10,5,1,0,96,61,17,11,5,2,19,12,6,1,6,3,2,1,5,2,3
"E00021217",360,138,112,26,104,70,22,10,2,0,88,46,20,16,2,4,16,7,7,2,8,3,5,0,6,5,1
"E00021218",409,64,48,16,136,97,31,5,0,3,157,99,28,11,11,8,27,8,16,3,15,6,8,1,10,2,8
"E00021219",213,25,13,12,53,38,12,3,0,0,64,43,10,7,3,1,27,7,19,1,25,8,15,2,19,6,13
"E00021220",295,39,32,7,153,116,32,3,2,0,78,53,17,5,2,1,13,10,3,0,4,2,1,1,8,4,4
"E00021223",355,50,39,11,178,155,14,6,3,0,107,84,12,5,4,2,14,5,6,3,4,2,2,0,2,2,0
"E00021224",340,51,34,17,135,105,17,9,4,0,85,50,16,9,7,3,38,11,22,5,20,6,13,1,11,7,4
"E00021225",244,27,15,12,83,62,15,4,1,1,65,40,11,4,6,4,23,12,11,0,24,11,13,0,22,13,9
"E00021227",225,34,23,11,72,53,13,5,1,0,74,39,17,12,3,3,25,7,17,1,9,5,4,0,11,6,5
"E00021228",290,56,35,21,77,58,14,3,2,0,79,41,19,7,9,3,31,9,17,5,25,12,8,5,22,7,15
"E00021229",221,41,28,13,84,40,33,4,5,2,67,38,15,7,5,2,14,5,4,5,9,6,1,2,6,1,5
"E00021230",217,19,13,6,59,47,10,2,0,0,81,55,16,8,0,2,31,6,24,1,14,3,10,1,13,9,4
"E00021231",185,13,6,7,33,23,9,1,0,0,65,47,14,1,1,2,40,24,13,3,18,12,5,1,16,8,8
"E00021235",248,56,13,43,60,18,27,8,3,4,88,27,22,24,8,7,24,2,12,10,14,1,9,4,6,3,3
"E00021236",241,46,30,16,109,63,28,16,0,2,61,29,14,12,4,2,16,6,8,2,4,2,2,0,5,4,1
"E00021238",367,52,47,5,182,164,16,0,2,0,108,85,11,8,2,2,17,3,13,1,7,1,6,0,1,0,1
"E00021239",253,39,38,1,129,104,25,0,0,0,74,54,17,0,3,0,10,0,10,0,1,0,1,0,0,0,0
"E00021240",284,28,24,4,135,122,12,1,0,0,88,75,7,3,2,1,25,8,16,1,7,2,5,0,1,1,0
"E00021241",252,42,39,3,104,92,12,0,0,0,73,55,12,4,2,0,20,4,14,2,10,5,4,1,3,1,2
"E00021243",275,49,20,29,101,62,32,6,0,1,91,43,22,17,4,5,20,4,15,1,8,2,4,2,6,1,5
"E00021244",203,24,7,17,36,19,13,2,1,1,57,35,14,5,0,3,38,27,11,0,30,24,4,2,18,10,8
"E00021245",195,32,15,17,53,43,8,1,1,0,50,31,11,3,3,2,25,13,12,0,16,8,8,0,19,9,10
"E00021246",395,76,26,50,153,107,35,11,0,0,102,54,20,17,10,1,27,4,15,8,25,3,17,5,12,3,9
"E00021247",274,83,27,56,63,37,18,6,1,1,89,25,20,17,18,9,19,3,11,5,12,4,4,4,8,3,5
"E00021248",239,35,11,24,94,27,56,9,1,1,90,36,30,10,8,6,9,4,4,1,8,4,3,1,3,1,2
"E00021249",249,54,27,27,48,20,16,10,2,0,80,38,10,15,9,8,45,7,27,11,15,3,12,0,7,1,6
"E00021251",223,31,14,17,72,43,26,3,0,0,75,37,18,10,4,6,14,4,7,3,18,4,12,2,13,5,8
"E00021252",242,30,24,6,114,99,14,1,0,0,79,59,11,2,4,3,12,5,7,0,5,2,3,0,2,0,2
"E00021253",243,46,18,28,78,55,18,5,0,0,92,58,11,12,9,2,14,6,3,5,4,1,2,1,9,5,4
"E00021254",204,28,27,1,110,86,24,0,0,0,58,39,9,8,2,0,7,6,0,1,0,0,0,0,1,1,0
"E00021255",193,10,10,0,105,85,19,1,0,0,68,47,15,4,2,0,10,6,4,0,0,0,0,0,0,0,0
"E00021256",214,51,47,4,98,88,10,0,0,0,58,35,14,3,6,0,5,0,3,2,1,1,0,0,1,1,0
"E00021257",209,34,24,10,87,54,30,1,0,2,57,30,8,3,10,6,22,4,16,2,7,2,4,1,2,0,2
"E00021258",266,58,19,39,50,25,22,2,1,0,85,29,16,21,13,6,30,8,18,4,15,8,6,1,28,15,13
"E00021259",305,74,39,35,96,59,19,6,7,5,90,38,13,20,10,9,19,8,7,4,18,6,11,1,8,6,2
"E00021260",255,51,23,28,66,57,6,2,0,1,72,37,11,9,10,5,32,15,15,2,24,12,11,1,10,7,3
"E00021261",217,35,24,11,97,65,27,5,0,0,43,19,5,15,2,2,9,4,4,1,9,5,4,0,24,18,6
"E00021262",218,36,22,14,64,28,32,4,0,0,74,41,15,7,5,6,15,3,11,1,12,3,7,2,17,5,12
"E00021263",327,71,53,18,106,69,34,3,0,0,101,60,24,15,1,1,14,8,5,1,16,3,13,0,19,9,10
"E00021266",231,31,21,10,94,75,9,8,2,0,78,42,15,13,7,1,13,3,10,0,9,1,8,0,6,3,3
"E00021267",257,35,22,13,92,54,26,8,4,0,65,40,10,7,6,2,32,8,19,5,8,2,6,0,25,9,16
"E00021268",203,35,18,17,75,48,19,5,3,0,68,44,3,6,8,7,7,2,5,0,5,4,1,0,13,5,8
"E00021271",330,53,27,26,59,47,10,1,0,1,132,93,15,7,6,11,36,7,26,3,23,13,7,3,27,14,13
"E00021272",182,39,24,15,46,32,9,5,0,0,63,37,10,11,1,4,15,7,7,1,14,4,10,0,5,2,3
"E00021273",236,35,17,18,44,25,13,4,2,0,63,34,13,11,4,1,30,7,20,3,29,15,13,1,35,22,13
"E00021274",385,82,30,52,82,47,28,4,0,3,143,49,33,30,21,10,36,6,23,7,17,4,9,4,25,13,12
"E00021275",206,36,18,18,34,23,7,3,1,0,64,33,12,11,8,0,35,19,15,1,19,9,10,0,18,11,7
"E00021277",208,37,21,16,39,22,10,4,0,3,62,32,9,10,7,4,30,10,16,4,24,7,15,2,16,5,11
"E00021278",148,35,15,20,50,30,9,9,0,2,40,24,4,6,2,4,5,1,3,1,6,3,3,0,12,4,8
"E00021279",322,68,25,43,67,32,25,8,1,1,105,42,24,20,14,5,41,18,19,4,19,7,9,3,22,11,11
"E00021280",245,47,32,15,80,63,15,1,0,1,76,53,13,2,7,1,14,10,2,2,13,6,7,0,15,12,3
"E00021281",436,108,78,30,156,122,28,6,0,0,108,61,22,15,8,2,29,9,12,8,26,8,14,4,9,1,8
"E00021282",343,86,54,32,127,102,17,8,0,0,59,32,8,12,7,0,26,8,16,2,22,13,7,2,23,12,11
"E00021285",112,5,4,1,74,66,7,1,0,0,27,25,2,0,0,0,2,1,1,0,3,2,1,0,1,1,0
"E00021286",209,50,39,11,82,76,3,2,1,0,50,34,9,5,2,0,13,5,8,0,10,4,6,0,4,2,2
"E00021287",266,34,34,0,148,140,8,0,0,0,78,69,6,2,1,0,6,3,3,0,0,0,0,0,0,0,0
"E00021288",225,34,34,0,107,103,4,0,0,0,75,55,18,1,1,0,6,2,2,2,1,1,0,0,2,0,2
"E00021289",210,35,15,20,66,17,37,10,1,1,86,39,21,17,3,6,10,4,5,1,3,3,0,0,10,7,3
"E00021290",247,57,26,31,61,38,15,6,0,2,82,35,21,15,3,8,19,6,9,4,12,3,9,0,16,8,8
"E00021291",369,51,50,1,197,196,1,0,0,0,106,102,4,0,0,0,12,7,5,0,3,2,1,0,0,0,0
"E00021292",231,63,36,27,62,36,23,3,0,0,62,25,13,14,8,2,18,5,10,3,10,8,1,1,16,5,11
"E00021294",367,78,20,58,84,26,43,13,1,1,138,62,40,18,15,3,40,19,15,6,16,4,7,5,11,7,4
"E00021295",327,76,55,21,116,95,15,4,1,1,96,60,17,6,9,4,21,2,16,3,11,1,9,1,7,2,5
"E00021296",300,45,39,6,114,107,7,0,0,0,92,60,19,5,8,0,24,4,19,1,18,4,14,0,7,4,3
"E00021297",336,40,26,14,100,81,14,4,1,0,107,46,32,15,11,3,46,11,29,6,20,4,14,2,23,7,16
"E00021298",365,48,44,4,139,116,19,4,0,0,117,81,19,15,2,0,40,7,30,3,14,5,9,0,7,4,3
"E00021299",371,74,60,14,140,116,18,3,3,0,95,63,15,10,6,1,37,11,22,4,19,4,14,1,6,3,3
"E00021300",422,109,103,6,141,124,16,0,1,0,112,61,24,20,6,1,42,13,23,6,12,5,7,0,6,4,2
"E00021301",331,47,17,30,130,53,56,18,3,0,101,39,33,16,11,2,17,3,10,4,16,3,10,3,20,7,13
"E00021302",384,89,64,25,139,107,20,5,7,0,107,73,15,7,12,0,28,9,16,3,12,5,6,1,9,4,5
"E00021303",286,84,34,50,81,40,36,1,3,1,76,40,12,9,9,6,19,3,11,5,17,10,4,3,9,3,6
"E00021304",286,68,54,14,100,85,9,4,2,0,77,34,14,10,17,2,19,6,7,6,6,3,2,1,16,5,11
"E00021305",214,46,31,15,51,49,2,0,0,0,63,22,30,6,1,4,29,14,12,3,19,5,13,1,6,2,4
"E00021306",231,30,23,7,71,64,4,3,0,0,78,50,9,15,4,0,26,11,13,2,12,5,7,0,14,6,8
"E00021307",422,115,105,10,169,161,7,0,0,1,105,75,19,6,2,3,19,8,9,2,9,3,5,1,5,3,2
"E00021308",355,96,66,30,115,92,16,5,2,0,88,43,7,25,10,3,24,4,14,6,21,4,14,3,11,0,11
"E00021309",177,10,8,2,108,100,8,0,0,0,49,39,8,0,1,1,7,4,3,0,3,1,2,0,0,0,0
"E00021310",215,43,41,2,46,33,12,0,1,0,60,39,4,15,2,0,27,9,18,0,19,9,8,2,20,8,12
"E00021311",246,51,19,32,77,41,29,6,1,0,74,39,17,9,8,1,12,3,6,3,22,6,10,6,10,5,5
"E00021312",241,39,33,6,91,69,16,6,0,0,78,43,21,8,5,1,13,4,9,0,10,2,8,0,10,3,7
"E00021313",404,83,70,13,162,135,23,3,1,0,104,71,17,8,7,1,32,9,17,6,9,2,7,0,14,7,7
"E00021314",305,53,41,12,75,63,8,0,4,0,121,58,32,18,10,3,29,8,18,3,18,8,10,0,9,5,4
"E00021315",135,2,2,0,8,5,2,0,1,0,15,15,0,0,0,0,46,37,8,1,36,26,9,1,28,22,6
"E00021316",247,60,31,29,64,42,16,4,1,1,70,33,16,10,10,1,20,4,12,4,14,6,7,1,19,8,11
"E00021317",264,35,26,9,69,60,8,1,0,0,95,39,32,13,8,3,31,11,18,2,20,4,15,1,14,5,9
"E00021318",262,49,42,7,98,82,15,1,0,0,71,49,12,2,5,3,16,7,9,0,16,8,8,0,12,6,6
"E00021319",268,69,52,17,92,71,14,4,1,2,59,27,13,7,8,4,17,7,8,2,23,12,8,3,8,5,3
"E00021320",252,46,23,23,62,53,5,1,2,1,84,31,15,17,14,7,30,11,15,4,15,6,9,0,15,2,13
"E00021321",248,48,36,12,87,66,18,2,1,0,65,41,19,3,2,0,23,5,16,2,14,2,10,2,11,4,7
"E00021322",243,41,26,15,73,41,18,12,2,0,78,40,9,15,11,3,23,8,12,3,16,7,7,2,12,4,8
"E00021323",290,62,26,36,82,56,14,8,4,0,67,25,10,18,14,0,26,9,13,4,25,9,14,2,28,22,6
"E00021324",339,50,40,10,125,113,11,1,0,0,80,43,28,5,2,2,28,11,16,1,16,4,11,1,40,23,17
"E00021325",309,45,21,24,107,70,24,7,4,2,109,43,23,24,12,7,21,8,9,4,11,3,6,2,16,6,10
"E00021326",303,77,40,37,94,50,35,4,4,1,92,28,21,29,11,3,16,1,13,2,13,4,6,3,11,6,5
"E00021327",342,48,33,15,102,86,15,1,0,0,119,86,17,7,8,1,41,13,24,4,18,8,9,1,14,6,8
"E00021328",309,79,50,29,109,65,29,15,0,0,80,26,22,17,11,4,22,3,17,2,11,3,7,1,8,3,5
"E00021329",326,62,40,22,90,53,25,8,1,3,101,68,8,14,8,3,35,17,14,4,19,8,10,1,19,11,8
"E00021330",264,59,32,27,80,48,26,2,2,2,65,34,14,11,5,1,32,14,12,6,18,2,9,7,10,3,7
"E00021331",155,27,15,12,54,39,13,0,2,0,51,29,3,12,4,3,10,5,5,0,3,1,1,1,10,7,3
"E00021332",333,97,38,59,64,23,26,8,4,3,112,26,29,35,18,4,29,8,9,12,24,10,13,1,7,1,6
"E00021333",262,47,6,41,76,45,21,8,0,2,90,30,20,22,7,11,25,11,10,4,15,4,10,1,9,4,5
"E00021334",294,43,16,27,81,52,19,7,1,2,81,41,13,13,10,4,43,9,29,5,25,11,8,6,21,7,14
"E00021335",423,103,47,56,105,51,38,12,4,0,118,50,24,21,17,6,47,14,21,12,33,6,22,5,17,3,14
"E00021336",189,38,17,21,42,10,23,4,3,2,68,17,21,12,14,4,20,6,7,7,9,1,5,3,12,2,10
"E00021337",247,66,23,43,53,26,16,8,1,2,93,26,23,25,10,9,16,1,10,5,14,0,8,6,5,0,5
"E00021338",297,69,32,37,101,38,40,15,5,3,91,27,29,21,11,3,16,3,7,6,8,2,1,5,12,1,11
"E00021339",272,59,40,19,104,84,15,4,0,1,69,38,6,17,8,0,25,5,17,3,7,2,5,0,8,1,7
"E00021340",336,72,54,18,151,115,28,5,2,1,79,62,7,3,1,6,16,11,5,0,9,6,2,1,9,3,6
"E00021342",213,41,16,25,57,15,31,10,1,0,87,28,25,26,7,1,13,4,6,3,8,3,4,1,7,1,6
"E00021344",385,112,38,74,76,36,22,13,3,2,121,30,33,30,22,6,32,8,15,9,23,7,10,6,21,11,10
"E00021345",236,45,11,34,97,37,42,17,1,0,69,27,19,12,6,5,18,10,7,1,5,0,5,0,2,1,1
"E00021346",228,45,18,27,78,35,33,8,2,0,76,25,27,14,8,2,12,5,5,2,8,1,7,0,9,6,3
"E00021347",259,58,35,23,91,30,40,20,1,0,91,42,23,20,5,1,16,7,5,4,1,0,1,0,2,0,2
"E00021349",293,62,27,35,93,51,28,9,5,0,100,36,26,14,20,4,18,6,8,4,14,2,11,1,6,1,5
"E00021350",252,63,19,44,70,36,26,5,3,0,76,29,13,20,9,5,17,4,7,6,12,3,6,3,14,5,9
"E00021351",254,37,17,20,80,38,29,11,2,0,102,38,33,16,13,2,7,3,2,2,14,4,6,4,14,7,7
"E00021352",200,22,8,14,76,41,26,4,5,0,84,48,14,16,4,2,11,5,3,3,7,2,3,2,0,0,0
"E00021353",231,45,21,24,57,23,24,10,0,0,63,21,16,18,6,2,26,13,11,2,17,8,8,1,23,14,9
"E00021354",357,107,39,68,74,44,25,5,0,0,117,51,21,25,16,4,36,4,22,10,12,6,5,1,11,3,8
"E00021355",266,58,50,8,101,87,13,1,0,0,69,56,11,2,0,0,16,7,8,1,10,7,2,1,12,10,2
"E00021357",284,64,18,46,82,32,36,9,2,3,89,23,21,22,17,6,18,5,8,5,17,4,8,5,14,4,10
"E00021359",246,56,30,26,75,36,36,2,1,0,79,36,22,12,5,4,7,1,5,1,14,3,7,4,15,5,10
"E00021360",309,76,21,55,85,42,28,12,2,1,109,34,32,26,9,8,15,3,7,5,8,4,1,3,16,6,10
"E00021361",242,55,24,31,79,32,37,6,1,3,79,26,23,13,11,6,12,4,6,2,8,4,2,2,9,2,7
"E00021363",269,49,16,33,81,41,32,8,0,0,89,33,11,29,14,2,19,5,9,5,10,4,5,1,21,13,8
"E00021364",419,108,56,52,82,50,20,11,0,1,141,52,32,42,13,2,51,3,38,10,22,2,15,5,15,8,7
"E00021365",229,31,18,13,80,58,13,6,2,1,76,54,8,8,5,1,26,9,15,2,10,7,3,0,6,6,0
"E00021366",261,42,17,25,79,37,33,8,0,1,79,31,19,16,10,3,25,13,10,2,15,9,5,1,21,15,6
"E00021367",243,54,40,14,70,31,30,7,2,0,47,22,14,5,5,1,23,6,13,4,14,9,4,1,35,22,13
"E00021368",298,56,18,38,97,55,34,7,1,0,103,55,21,17,2,8,21,6,9,6,12,4,3,5,9,3,6
"E00021369",144,33,5,28,41,7,19,12,3,0,54,13,14,15,12,0,8,1,3,4,7,0,2,5,1,1,0
"E00021370",416,115,25,90,88,42,35,8,2,1,152,36,53,33,29,1,42,7,24,11,12,2,6,4,7,1,6
"E00021371",121,42,8,34,23,4,11,2,3,3,48,4,21,12,7,4,7,0,2,5,0,0,0,0,1,0,1
"E00021372",285,44,29,15,100,63,29,6,2,0,88,43,27,12,4,2,30,7,23,0,8,5,3,0,15,7,8
"E00021374",293,69,30,39,59,19,32,8,0,0,90,37,20,23,5,5,29,8,15,6,24,4,17,3,22,5,17
"E00021375",266,60,24,36,72,37,27,8,0,0,85,39,15,22,7,2,23,6,11,6,11,2,7,2,15,8,7
"E00021376",270,71,31,40,44,22,20,2,0,0,98,35,29,17,8,9,28,8,18,2,13,1,12,0,16,7,9
"E00021377",411,79,50,29,147,87,47,12,1,0,133,67,22,26,13,5,19,4,12,3,20,7,12,1,13,5,8
"E00021378",338,79,51,28,113,79,29,3,0,2,103,59,19,13,7,5,20,8,7,5,8,3,4,1,15,9,6
"E00021379",230,33,19,14,52,38,8,4,2,0,66,38,8,10,9,1,39,16,16,7,21,5,14,2,19,7,12
"E00021380",191,46,24,22,44,37,7,0,0,0,63,37,7,10,5,4,16,10,5,1,13,5,8,0,9,4,5
"E00021381",272,63,25,38,75,36,24,13,2,0,91,36,17,22,14,2,24,9,11,4,9,4,4,1,10,4,6
"E00021382",244,44,12,32,82,15,48,17,2,0,78,23,26,16,8,5,14,2,6,6,14,6,7,1,12,7,5
"E00021383",380,89,34,55,79,40,26,8,4,1,120,50,29,20,17,4,31,11,15,5,26,14,8,4,35,23,12
"E00021384",199,14,14,0,67,57,8,2,0,0,94,79,13,2,0,0,13,5,8,0,6,5,1,0,5,1,4
"E00021385",341,79,44,35,118,91,17,7,3,0,98,44,22,17,8,7,18,3,11,4,8,2,6,0,20,9,11
"E00021386",254,58,25,33,73,37,30,4,2,0,83,37,17,13,11,5,23,8,11,4,12,3,8,1,5,4,1
"E00021387",502,125,36,89,131,85,31,7,8,0,168,73,29,31,27,8,36,4,23,9,15,1,10,4,27,9,18
"E00021388",248,41,17,24,73,43,20,6,4,0,80,42,10,10,15,3,30,10,14,6,16,5,11,0,8,6,2
"E00021391",328,81,24,57,84,29,42,5,5,3,119,37,28,26,23,5,17,3,5,9,15,6,6,3,12,3,9
"E00021392",296,52,27,25,60,33,21,4,2,0,109,66,21,11,9,2,45,18,25,2,21,6,12,3,9,4,5
"E00021393",300,67,35,32,80,34,30,13,1,2,91,37,20,20,8,6,31,8,17,6,9,3,5,1,22,13,9
"E00021394",250,49,21,28,75,34,32,5,4,0,81,33,19,17,9,3,22,10,9,3,11,7,3,1,12,10,2
