"GeographyCode","QS204EW0001","QS204EW0002","QS204EW0003","QS204EW0004","QS204EW0005","QS204EW0006","QS204EW0007","QS204EW0008","QS204EW0009","QS204EW0010","QS204EW0011","QS204EW0012","QS204EW0013","QS204EW0014","QS204EW0015","QS204EW0016","QS204EW0017","QS204EW0018","QS204EW0019","QS204EW0020","QS204EW0021","QS204EW0022","QS204EW0023","QS204EW0024","QS204EW0025","QS204EW0026","QS204EW0027","QS204EW0028","QS204EW0029","QS204EW0030","QS204EW0031","QS204EW0032","QS204EW0033","QS204EW0034","QS204EW0035","QS204EW0036","QS204EW0037","QS204EW0038","QS204EW0039","QS204EW0040","QS204EW0041","QS204EW0042","QS204EW0043","QS204EW0044","QS204EW0045","QS204EW0046","QS204EW0047","QS204EW0048","QS204EW0049","QS204EW0050","QS204EW0051","QS204EW0052","QS204EW0053","QS204EW0054","QS204EW0055","QS204EW0056","QS204EW0057","QS204EW0058","QS204EW0059","QS204EW0060","QS204EW0061","QS204EW0062","QS204EW0063","QS204EW0064","QS204EW0065","QS204EW0066","QS204EW0067","QS204EW0068","QS204EW0069","QS204EW0070","QS204EW0071","QS204EW0072","QS204EW0073","QS204EW0074","QS204EW0075","QS204EW0076","QS204EW0077","QS204EW0078","QS204EW0079","QS204EW0080","QS204EW0081","QS204EW0082","QS204EW0083","QS204EW0084","QS204EW0085","QS204EW0086","QS204EW0087","QS204EW0088","QS204EW0089","QS204EW0090","QS204EW0091","QS204EW0092","QS204EW0093","QS204EW0094","QS204EW0095","QS204EW0096","QS204EW0097","QS204EW0098","QS204EW0099","QS204EW0100","QS204EW0101","QS204EW0102","QS204EW0103","QS204EW0104"
"E02000874",6827,3998,2,1,1,0,0,0,0,0,0,67,55,80,274,90,39,31,3,4,8,23,3,6,12,26,2,15,0,3,0,2,4,3,13,0,2,4,0,7,0,0,0,35,19,51,18,1,5,2,1,9,1852,16,6,8,0,1789,3,2,1,2,6,0,1,18,219,21,10,134,11,10,22,6,4,0,1,0,0,0,0,0,129,11,4,95,0,4,2,0,3,1,2,0,0,3,1,3,9,9,5,4,1,0
"E02000875",8933,5639,3,1,0,0,0,1,0,0,0,89,53,68,267,42,14,68,2,4,5,29,1,28,15,21,4,4,16,3,1,2,5,3,9,6,0,1,1,1,0,0,0,38,50,63,29,0,9,15,0,5,2179,14,17,12,0,2092,7,1,1,8,4,4,4,15,215,17,29,84,15,5,49,0,4,9,3,0,0,1,1,0,221,8,8,142,2,17,3,4,6,2,5,2,3,2,3,14,3,3,5,5,0,0
"E02000876",6761,4079,2,0,0,0,0,0,0,0,0,104,65,106,294,91,41,50,3,2,1,13,2,4,11,26,3,27,3,4,4,2,4,3,26,1,10,0,0,15,7,0,7,16,29,32,22,2,5,3,2,10,1763,16,12,9,0,1696,2,0,0,1,0,0,12,15,121,6,14,46,22,9,16,5,0,3,0,1,0,0,0,0,88,6,2,63,0,3,1,1,2,2,0,0,0,4,2,2,3,3,3,3,0,0
"E02000877",9282,5562,0,0,0,0,0,0,0,0,0,76,73,108,389,106,23,108,9,2,9,48,12,20,8,13,5,10,5,2,4,0,3,2,23,12,2,4,0,5,0,0,0,33,17,53,37,0,4,5,2,26,2535,33,6,16,0,2416,7,1,1,7,13,1,9,25,167,13,9,66,21,6,21,6,9,9,7,0,0,1,1,0,185,17,4,119,2,8,3,4,5,0,1,1,2,10,3,6,18,18,5,5,0,0
"E02000878",9944,5938,2,2,1,0,0,0,0,1,0,278,85,171,690,219,120,78,10,6,14,21,3,7,11,70,27,39,26,15,7,2,5,10,31,7,5,2,0,17,0,0,0,59,28,59,39,8,11,8,6,6,2239,29,15,22,0,2127,7,1,0,3,17,1,0,17,174,11,11,55,45,21,5,14,1,7,4,0,0,0,0,0,141,12,24,80,0,1,1,4,2,0,1,1,1,6,0,8,6,6,2,2,0,0
"E02000879",7340,4681,1,1,1,0,0,0,0,0,0,75,57,84,316,73,37,66,4,5,13,24,4,35,4,11,6,7,4,4,2,0,12,5,12,5,0,3,0,4,0,0,0,28,24,57,22,1,6,9,2,4,1740,21,4,7,0,1669,8,0,0,2,19,0,0,10,111,1,10,49,11,6,10,9,2,12,1,1,0,0,0,0,106,2,4,68,0,0,2,0,5,0,1,1,2,11,0,10,15,15,9,3,5,1
"E02000880",5507,3303,0,0,0,0,0,0,0,0,0,71,54,68,248,88,32,40,3,3,1,14,3,9,7,8,14,13,3,6,0,2,2,0,28,10,6,0,0,12,0,0,0,17,22,44,20,3,5,2,0,10,1435,24,11,4,1,1368,5,1,2,0,3,0,0,16,107,3,8,21,11,0,11,3,23,15,12,0,0,1,1,0,80,10,4,50,0,1,1,0,3,0,0,0,0,1,6,4,6,6,3,2,1,0
"E02000881",6541,4168,1,1,0,0,0,0,0,1,0,36,60,41,243,23,15,77,5,4,14,28,13,10,35,7,4,3,1,0,3,0,1,0,7,3,0,2,0,2,0,0,0,17,36,40,20,0,2,12,2,4,1551,19,10,15,0,1489,3,0,1,0,0,1,0,13,144,12,25,36,3,5,39,4,3,10,7,0,0,0,0,0,172,6,1,140,0,3,6,3,1,0,1,1,2,2,4,2,2,2,2,2,0,0
"E02000882",8152,4975,1,2,1,0,0,0,0,0,1,53,40,60,198,37,31,65,1,1,5,11,7,9,11,8,2,2,1,3,0,2,1,1,16,8,3,3,0,2,0,0,0,26,8,34,13,2,1,2,1,7,2503,20,2,6,0,2441,5,0,0,1,8,0,0,20,96,5,12,27,8,2,2,1,8,29,2,0,2,0,0,0,117,3,3,74,0,2,1,0,2,0,3,5,2,8,2,12,5,5,3,2,1,0
"E02000883",7538,4780,1,2,0,0,0,0,0,2,0,49,56,34,271,41,15,55,4,4,10,57,8,25,21,14,1,3,1,4,1,0,4,3,15,14,0,1,0,0,0,0,0,37,27,42,42,0,6,5,14,17,1781,20,8,4,0,1696,15,0,0,0,5,3,9,21,176,15,33,74,2,1,42,1,3,3,2,0,0,0,0,0,216,7,2,155,0,6,4,2,3,2,3,1,6,8,3,14,6,6,3,2,1,0
"E02000884",8771,5271,2,1,1,0,0,0,0,0,0,234,77,108,548,145,121,68,9,5,17,21,9,13,12,43,25,28,12,15,4,0,0,1,25,2,3,1,0,19,0,0,0,51,18,73,23,3,6,1,1,12,2023,97,11,15,0,1857,5,0,0,7,5,2,4,20,197,24,14,45,26,18,21,12,11,12,14,1,0,0,0,0,101,10,5,64,0,3,4,0,3,1,0,5,0,1,1,4,13,13,5,4,1,0
"E02000885",6566,3728,2,1,0,1,0,0,0,0,0,53,48,70,259,45,40,54,1,3,5,34,7,11,10,11,1,8,17,1,0,0,9,2,13,5,5,1,0,2,0,0,0,26,33,42,38,0,22,3,5,8,2025,33,10,5,0,1942,15,0,0,1,6,0,3,10,99,4,7,28,13,3,12,5,1,8,18,0,0,0,0,0,118,2,9,76,1,8,8,1,1,2,1,0,0,3,1,5,4,4,7,5,1,1
"E02000886",6975,4628,2,0,0,0,0,0,0,0,0,117,69,73,430,76,74,73,10,4,16,25,12,31,21,32,14,13,12,2,2,1,9,3,20,8,4,5,1,2,0,0,0,65,46,32,29,1,4,9,11,4,1119,5,26,3,0,1066,4,0,0,3,0,1,0,11,235,17,53,88,8,11,40,4,3,8,3,0,0,0,0,0,97,14,6,55,0,6,0,0,1,1,0,0,5,2,1,6,6,6,7,5,2,0
"E02000887",8123,5037,0,0,0,0,0,0,0,0,0,83,65,100,427,68,28,84,4,3,24,79,11,30,37,29,5,11,4,2,5,0,2,1,31,19,5,3,0,4,0,0,0,41,42,53,42,2,6,10,4,20,1835,12,11,18,0,1761,13,2,0,3,0,0,1,14,219,15,42,88,5,11,30,5,7,13,3,0,0,0,0,0,136,10,3,86,1,9,3,0,7,0,4,0,8,3,0,2,11,11,1,1,0,0
"E02000888",7786,4883,1,0,0,0,0,0,0,0,0,86,62,106,408,77,65,65,18,9,20,25,8,22,24,36,13,15,7,2,0,0,1,1,19,3,5,3,1,7,0,0,0,43,41,46,14,1,1,6,1,5,1789,26,30,4,0,1701,8,1,2,3,2,0,0,12,185,12,14,93,25,6,4,8,2,12,9,0,0,0,0,0,96,4,6,57,0,7,4,0,5,0,1,0,1,1,2,8,5,5,2,2,0,0
"E02000889",6303,4267,0,1,1,0,0,0,0,0,0,150,23,70,408,99,71,67,10,11,13,14,2,15,19,38,13,16,4,6,3,2,2,3,8,0,1,4,2,1,0,0,0,57,17,34,17,1,8,3,1,4,1096,18,11,3,0,1039,13,0,0,2,0,2,0,8,95,4,6,30,18,13,5,4,1,4,10,0,0,0,0,0,54,2,1,37,0,3,1,0,0,0,0,0,5,2,3,0,3,3,3,2,1,0
"E02000890",5574,4326,3,1,0,0,1,0,0,0,0,161,42,78,435,85,110,53,7,9,5,8,3,23,11,34,30,15,22,14,1,0,1,4,14,0,7,1,1,5,0,0,0,67,12,16,14,1,0,12,0,1,311,2,4,0,0,300,0,2,0,0,0,0,0,3,84,6,11,32,18,4,1,5,1,3,3,0,0,0,0,0,8,1,0,4,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,0
"E02000891",12041,7810,2,2,1,0,0,0,0,0,1,226,155,188,870,134,134,159,21,17,62,61,11,65,43,76,30,22,7,12,5,3,2,6,49,4,14,15,3,13,1,0,1,158,63,107,103,2,8,65,2,26,1360,59,106,9,0,1104,10,9,12,16,14,1,9,11,747,62,67,438,27,51,38,8,17,31,8,0,1,0,0,0,183,1,2,104,0,11,5,1,1,4,1,2,22,8,10,11,6,6,10,9,1,0
"E02000893",6408,4539,0,0,0,0,0,0,0,0,0,63,34,80,479,57,47,104,9,13,23,73,11,33,47,23,6,17,3,5,0,2,4,2,26,9,10,3,0,4,0,0,0,59,18,27,31,4,6,20,0,1,706,16,30,8,0,609,1,0,7,18,3,0,3,11,275,27,35,133,10,14,43,7,3,2,1,0,0,0,0,0,62,7,3,18,0,4,0,4,2,1,0,0,12,3,5,3,4,4,5,5,0,0
"E02000894",9651,6575,2,0,0,0,0,0,0,0,0,185,107,184,786,113,78,185,29,18,31,68,5,65,32,58,40,22,13,8,5,5,4,7,37,8,15,5,2,7,0,0,0,130,67,40,49,2,3,24,2,18,828,17,87,14,0,620,12,12,2,26,14,0,0,24,575,74,63,298,21,25,41,25,10,16,2,0,0,0,0,0,83,2,0,43,0,3,0,2,1,0,0,1,23,1,5,2,3,3,0,0,0,0
"E02006853",6682,4408,1,0,0,0,0,0,0,0,0,124,78,101,404,44,74,62,10,12,22,14,15,30,33,52,15,11,3,4,1,0,1,1,27,6,10,2,0,9,0,0,0,111,69,56,53,4,0,21,0,28,787,12,46,3,0,683,4,9,5,9,5,2,0,9,372,27,65,196,24,15,24,4,4,7,6,0,0,1,1,0,77,2,3,42,0,1,5,3,4,0,0,0,6,1,4,6,6,6,7,5,2,0
"E02006854",5623,3703,4,0,0,0,0,0,0,0,0,110,63,78,469,102,89,55,8,8,11,11,1,32,17,57,23,27,19,2,1,1,0,5,30,5,5,4,0,16,0,0,0,106,55,36,43,2,3,17,0,21,462,8,42,0,0,373,2,6,6,4,4,4,0,13,394,38,40,239,27,25,8,4,5,6,2,0,0,0,0,0,66,3,1,36,0,1,3,0,0,0,0,0,6,0,9,7,3,3,1,1,0,0
